case_id,NQ_MATRIX,nx,ny,grid_size,matrix_size,condition_number,circuit_qubits,circuit_gates,circuit_depth,circuit_gates_transpiled,circuit_depth_transpiled,qc_shots,qc_backend
tridiag_nq2_0,2,0,0,0,4,3.3416407864998736,7,4643,3417,4643,3417,100,matrix_product_state_sim_aer
tridiag_nq2_1,2,0,0,0,4,3.3416407864998736,7,4643,3417,4643,3417,1000,matrix_product_state_sim_aer
tridiag_nq2_2,2,0,0,0,4,3.3416407864998736,7,4643,3417,4643,3417,10000,matrix_product_state_sim_aer
tridiag_nq2_3,2,0,0,0,4,3.3416407864998736,7,4643,3417,4643,3417,100000,matrix_product_state_sim_aer
tridiag_nq4_0,4,0,0,0,16,4.8024060221351546,11,478080,345864,478080,345864,100,matrix_product_state_sim_aer
tridiag_nq4_1,4,0,0,0,16,4.8024060221351546,11,478080,345864,478080,345864,1000,matrix_product_state_sim_aer
tridiag_nq4_2,4,0,0,0,16,4.8024060221351546,11,478080,345864,478080,345864,10000,matrix_product_state_sim_aer
tridiag_nq4_3,4,0,0,0,16,4.8024060221351546,11,478080,345864,478080,345864,100000,matrix_product_state_sim_aer
tridiag_nq5_0,5,0,0,0,32,4.946150738131262,13,4104003,2970897,4104003,2970897,100,matrix_product_state_sim_aer
tridiag_nq5_1,5,0,0,0,32,4.946150738131262,13,4104003,2970897,4104003,2970897,1000,matrix_product_state_sim_aer
tridiag_nq5_2,5,0,0,0,32,4.946150738131262,13,4104003,2970897,4104003,2970897,10000,matrix_product_state_sim_aer
tridiag_nq5_3,5,0,0,0,32,4.946150738131262,13,4104003,2970897,4104003,2970897,100000,matrix_product_state_sim_aer
