iters, residual_total, residual_rho, residual_rhou, residual_rhoE
0.0,12.375368413827264,3.056753228741153,4.585129843111731,11.080730454186686
1.0,10.362589599032312,2.1001282799304453,6.440618881627914,7.8416294752702385
2.0,10.075550945706043,1.9821938160215755,5.734254445075715,8.044001522524296
3.0,11.457717450729879,2.099276230462658,6.232100146309246,9.382603916575972
4.0,5.153078644604978,1.6745956809688902,2.9841868985349724,3.8528661250264635
5.0,5.169374128218482,1.659998212636549,2.9775126424720284,3.886033102722787
6.0,5.073771020879345,1.7800584484600173,3.139691446253699,3.5660737393809603
7.0,4.084533649898616,1.3868772809969292,2.6573291824035308,2.774632977702684
8.0,4.193047557948584,1.3939864879369008,2.6753912530048063,2.912169489918694
9.0,4.195218966189015,1.3904288814031232,2.683560291042453,2.9094799989641156
10.0,4.410556496426196,1.465469569174007,2.9341632575542818,2.9489139573766336
11.0,4.288987281874415,1.353951209023711,2.813932937263713,2.9400696339110963
12.0,3.3092979406423173,0.9763948389078764,1.3233415126634664,2.871736969040708
13.0,3.0631294132473945,0.9147859428344304,1.1188267399299754,2.7007693731808184
14.0,2.1552125151246133,0.6952845173559531,1.1696433049521688,1.6713632054270633
