step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 95.97789014324577, 9, 22.405614510122508, 2.3074021727489433, 1.0, 0.1029832130561069, 5, 5, 19, 14, 689027, 689127, 14, 281.90139055252075, 50.42907977104187, 70.86754369735718
1, 0, 15, 16, 32, 124.31963613060437, 11, 23.477804916137952, 1.5359099575483013, 1.0000000000000024, 0.06541965754611763, 5, 5, 19, 14, 689027, 689127, 14, 281.81718254089355, 48.87525820732117, 70.73537969589233
2, 0, 15, 16, 32, 60.22592250760793, 11, 23.354310904730397, 3.815576354902092, 1.0, 0.16337781793121756, 5, 5, 18, 13, 343170, 343251, 13, 138.03645944595337, 24.31226348876953, 28.27287745475769
3, 0, 15, 16, 32, 67.23885335002846, 11, 23.58923007614981, 3.7683261326898734, 0.9999999999999969, 0.1597477374431092, 5, 5, 19, 14, 689027, 689127, 14, 276.3086140155792, 47.2735915184021, 67.2724859714508
4, 0, 15, 16, 32, 70.9879045515271, 11, 23.408765225306826, 3.5318104498414447, 1.0000000000000007, 0.15087555519687396, 5, 5, 19, 14, 689027, 689127, 14, 278.8375403881073, 46.87945199012756, 67.94804501533508
5, 0, 15, 16, 32, 75.82756040182497, 11, 23.447221050970903, 3.330493324553623, 0.9999999999999996, 0.1420421344309246, 5, 5, 19, 14, 689027, 689127, 14, 278.5398998260498, 47.387367248535156, 67.3557333946228
6, 0, 15, 16, 32, 82.84494011897203, 11, 23.987570252741143, 3.408744628788604, 1.0000000000000024, 0.14210462305572877, 5, 5, 19, 14, 689027, 689127, 14, 277.4479055404663, 47.892496824264526, 67.68230271339417
7, 0, 15, 16, 32, 88.79438297414978, 11, 23.96820644353494, 3.309201934210852, 1.0000000000000009, 0.13806631472433273, 5, 5, 19, 14, 688517, 688617, 14, 281.1054046154022, 47.74714469909668, 67.61410975456238
8, 0, 15, 16, 32, 80.53025475599786, 11, 23.879385333486226, 3.4859857851800315, 0.999999999999998, 0.1459830618123825, 5, 5, 19, 14, 689027, 689127, 14, 283.06532049179077, 47.02988028526306, 66.58301210403442
9, 0, 15, 16, 32, 79.12200705750658, 11, 23.785396775342043, 3.520459786072251, 0.9999999999999962, 0.1480092940775265, 5, 5, 19, 14, 689027, 689127, 14, 280.9569878578186, 47.085055112838745, 67.46726441383362
10, 0, 15, 16, 32, 78.79252140620659, 11, 23.830430404852383, 3.414058796118454, 1.0000000000000022, 0.14326467202301552, 5, 5, 19, 14, 689027, 689127, 14, 279.52148151397705, 47.14455842971802, 67.79382944107056
11, 0, 15, 16, 32, 77.8922241043765, 11, 23.85347038294087, 3.4735363474857626, 1.0000000000000009, 0.14561974805854253, 5, 5, 19, 14, 689027, 689127, 14, 276.95489597320557, 46.93206286430359, 66.97728061676025
12, 0, 15, 16, 32, 65.49338716076012, 11, 23.947566866823163, 3.935710029638077, 0.999999999999997, 0.1643469690062997, 5, 5, 19, 14, 689027, 689127, 14, 275.16406178474426, 46.48320126533508, 65.77666091918945
13, 0, 15, 16, 32, 67.81313516584855, 11, 23.769220021688835, 3.8356200634433413, 1.0000000000000024, 0.16136920184774392, 5, 5, 19, 14, 689027, 689127, 14, 270.65815806388855, 44.85476899147034, 63.160961389541626
14, 0, 15, 16, 32, 67.56121661989505, 11, 23.77327469171407, 3.853382654473816, 0.9999999999999973, 0.16208884574983953, 5, 5, 19, 14, 689027, 689127, 14, 257.2273108959198, 43.05672645568848, 61.76709771156311
