step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 95.97789014324577, 9, 22.405614510122508, 2.3074021727489433, 1.0, 0.1029832130561069, 5, 5, 19, 14, 689027, 689127, 14, 280.35743498802185, 49.5854709148407, 70.85969233512878
1, 0, 15, 16, 32, 114.99362993918909, 10, 21.40612117542128, 1.439414747457616, 1.0000000000000009, 0.06724313740269686, 5, 5, 19, 14, 689027, 689127, 14, 280.4399173259735, 49.111732482910156, 70.19317364692688
2, 0, 15, 16, 32, 102.45378092474702, 11, 21.41248021080436, 1.8517307170190216, 0.9999999999999987, 0.08647903927003389, 5, 5, 19, 14, 689027, 689127, 14, 279.79057335853577, 47.77007794380188, 70.26504588127136
3, 0, 15, 16, 32, 93.2392605671127, 12, 21.94960877156016, 2.0737978427802544, 0.9999999999999993, 0.09447994560464579, 5, 5, 19, 14, 689027, 689127, 14, 271.786673784256, 48.55679273605347, 70.4954252243042
4, 0, 15, 16, 32, 65.00984988027972, 11, 23.521261942275952, 3.775441712806556, 1.0000000000000022, 0.16051186888152277, 5, 5, 19, 14, 689027, 689127, 14, 279.1603829860687, 49.10812950134277, 69.97188425064087
5, 0, 15, 16, 32, 67.32492267033243, 11, 23.651144735446344, 3.654543280089171, 1.0000000000000004, 0.15451866372506068, 5, 5, 19, 14, 689027, 689127, 14, 275.7016108036041, 47.10487484931946, 69.66514277458191
6, 0, 15, 16, 32, 66.59390808166108, 12, 23.60399047959773, 3.872755806708133, 1.000000000000001, 0.16407207967888232, 5, 5, 19, 14, 689027, 689127, 14, 280.5315704345703, 49.21557879447937, 70.04394483566284
7, 0, 15, 16, 32, 65.11935148218379, 12, 23.64472076819335, 3.880387538237941, 1.0000000000000007, 0.16411221668803985, 5, 5, 19, 14, 689027, 689127, 14, 278.754762172699, 48.67022252082825, 70.29352474212646
8, 0, 15, 16, 32, 65.95336377238831, 11, 23.645163548060737, 3.889086963940583, 1.0000000000000007, 0.16447705916838584, 5, 5, 19, 14, 689027, 689127, 14, 272.3969461917877, 48.232666969299316, 70.29205799102783
9, 0, 15, 16, 32, 65.49002157512159, 11, 23.958762189350892, 4.062664806318896, 1.0, 0.16956906096445393, 5, 5, 19, 14, 689027, 689127, 14, 277.934086561203, 48.158321142196655, 69.91375827789307
10, 0, 15, 16, 32, 65.49031500370624, 11, 23.958926479194968, 4.0627379768448995, 0.9999999999999973, 0.16957095220325524, 5, 5, 19, 14, 689027, 689127, 14, 274.5968554019928, 47.499682903289795, 69.92229890823364
11, 0, 15, 16, 32, 68.16125203518575, 11, 23.990212183817963, 4.094656323734653, 0.9999999999999987, 0.1706802879591295, 5, 5, 19, 14, 689027, 689127, 14, 273.66698002815247, 48.265862464904785, 68.28866481781006
12, 0, 15, 16, 32, 68.2329946154408, 11, 23.98215389505792, 4.073993158032171, 1.0000000000000056, 0.16987603264741435, 5, 5, 19, 14, 689027, 689127, 14, 269.9652328491211, 47.39885139465332, 67.26824021339417
13, 0, 15, 16, 32, 67.21669367725079, 11, 23.959410857612617, 4.1012631739667755, 0.9999999999999973, 0.1711754599618486, 5, 5, 19, 14, 689027, 689127, 14, 262.3222074508667, 45.045300006866455, 64.17549109458923
14, 0, 15, 16, 32, 67.23555912013973, 11, 23.95886365974708, 4.100375965113658, 0.9999999999999989, 0.1711423389416696, 5, 5, 19, 14, 689027, 689127, 14, 256.64020228385925, 43.822680711746216, 62.40593862533569
