step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 95.97789014324577, 9, 22.405614510122508, 2.3074021727489433, 1.0, 0.1029832130561069, 5, 5, 19, 14, 689027, 689127, 14, 273.6955258846283, 47.66244721412659, 70.4318585395813
1, 0, 15, 16, 32, 112.82509109991312, 12, 23.73514312751625, 2.164366948891345, 0.9999999999999976, 0.09118828301406501, 5, 5, 19, 14, 689027, 689127, 14, 274.4092252254486, 46.96805238723755, 69.78781199455261
2, 0, 15, 16, 32, 143.06252899270189, 11, 24.45274558790298, 2.15061447203873, 1.0000000000000018, 0.08794981587272825, 5, 5, 20, 15, 1380740, 1380861, 15, 558.8708374500275, 89.88600754737854, 403.05451560020447
3, 0, 15, 16, 32, 68.61222217644419, 11, 24.954817691960024, 5.036734854864013, 0.9999999999999998, 0.20183416753577854, 5, 5, 19, 14, 689027, 689127, 14, 274.97727727890015, 47.09192419052124, 65.71259450912476
4, 0, 15, 16, 32, 65.71619177757823, 12, 24.784682616825158, 5.234877663341762, 0.9999999999999977, 0.21121423034838882, 5, 5, 19, 14, 689027, 689127, 14, 273.4575219154358, 47.28003215789795, 66.48124384880066
5, 0, 15, 16, 32, 64.908852997891, 11, 24.616359325001934, 4.951904454366895, 1.0000000000000024, 0.20116315288497685, 5, 5, 19, 14, 689027, 689127, 14, 275.139044046402, 46.35009956359863, 66.3575508594513
6, 0, 15, 16, 32, 64.92783511408852, 11, 24.585428713331943, 4.887738628573295, 0.9999999999999979, 0.19880632083193378, 5, 5, 19, 14, 689027, 689127, 14, 274.8702299594879, 46.66817355155945, 66.09247398376465
7, 0, 15, 16, 32, 64.99466406282923, 13, 24.521154370465148, 4.799522489056044, 0.9999999999999992, 0.19572987537800798, 5, 5, 19, 14, 689027, 689127, 14, 274.70641565322876, 47.15657639503479, 67.08071374893188
8, 0, 15, 16, 32, 66.13008242711851, 12, 24.34151896302611, 4.5575761883758545, 0.9999999999999972, 0.18723466663270416, 5, 5, 19, 14, 689027, 689127, 14, 274.99219512939453, 46.94950008392334, 66.66438865661621
9, 0, 15, 16, 32, 66.17318604046612, 11, 24.331168232143114, 4.542259709418593, 0.999999999999998, 0.18668481784684554, 5, 5, 19, 14, 689027, 689127, 14, 274.97163367271423, 46.45346140861511, 66.3203616142273
10, 0, 15, 16, 32, 66.23331223295753, 12, 24.31954550799956, 4.5241101241771915, 1.0000000000000024, 0.18602774145960288, 5, 5, 19, 14, 689027, 689127, 14, 267.3128035068512, 45.82233715057373, 65.27674794197083
11, 0, 15, 16, 32, 66.30899270652998, 11, 24.28109107114089, 4.450219780920951, 0.9999999999999989, 0.18327923435904514, 5, 5, 19, 14, 689027, 689127, 14, 264.67786860466003, 44.66082954406738, 62.82004714012146
12, 0, 15, 16, 32, 66.42207365868737, 11, 24.245456320702008, 4.372417954421831, 1.0000000000000022, 0.1803396849531934, 5, 5, 19, 14, 689027, 689127, 14, 258.1069030761719, 42.85857391357422, 61.42469501495361
13, 0, 15, 16, 32, 66.44994149277413, 11, 24.235518416933786, 4.354549413326986, 1.0000000000000038, 0.17967634685645537, 5, 5, 19, 14, 689027, 689127, 14, 245.42754769325256, 41.03151488304138, 61.114784240722656
14, 0, 15, 16, 32, 66.54478326006686, 11, 24.173911759875097, 4.3331155983571765, 1.000000000000002, 0.17924759721963796, 5, 5, 19, 14, 689027, 689127, 14, 209.69686460494995, 36.11656832695007, 53.99845623970032
