step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 95.97789014324577, 9, 22.405614510122508, 2.3074021727489433, 1.0, 0.1029832130561069, 5, 5, 19, 14, 689027, 689127, 14, 278.8883373737335, 48.89379000663757, 71.47357177734375
1, 0, 15, 16, 32, 74.6045329739419, 12, 24.864122284502645, 4.530109512610693, 1.0000000000000013, 0.18219462809810277, 5, 5, 19, 14, 689027, 689127, 14, 279.5093069076538, 47.2074613571167, 70.6525628566742
2, 0, 15, 16, 32, 67.85820357546014, 13, 24.298416283206638, 4.138970073283739, 1.0000000000000022, 0.17033908815466028, 5, 5, 19, 14, 689027, 689127, 14, 277.31204080581665, 48.43703031539917, 69.76027584075928
3, 0, 15, 16, 32, 66.77762401786602, 11, 24.09357797770603, 4.158980874445656, 1.0000000000000029, 0.1726178186691076, 5, 5, 19, 14, 689027, 689127, 14, 278.6816837787628, 47.365214586257935, 70.09036374092102
4, 0, 15, 16, 32, 66.96739791371198, 11, 24.086704639715517, 4.143876418227781, 0.9999999999999996, 0.17203998970432513, 5, 5, 19, 14, 689027, 689127, 14, 278.3486886024475, 47.50368523597717, 70.48057198524475
5, 0, 15, 16, 32, 67.02102999888234, 11, 24.08461326950801, 4.13904057987425, 1.0000000000000016, 0.1718541432888362, 5, 5, 19, 14, 689027, 689127, 14, 279.67856335639954, 47.808271646499634, 69.5810616016388
6, 0, 15, 16, 32, 67.13422617788243, 11, 24.081040577656353, 4.12955324466844, 0.9999999999999993, 0.17148566447332336, 5, 5, 19, 14, 689027, 689127, 14, 278.59362411499023, 47.71383500099182, 69.05894637107849
7, 0, 15, 16, 32, 67.31848619935376, 11, 24.0732069797252, 4.11429555332906, 1.0000000000000013, 0.1709076633119212, 5, 5, 19, 14, 689027, 689127, 14, 278.49811458587646, 47.84947872161865, 69.4115834236145
8, 0, 15, 16, 32, 67.3793542716197, 11, 24.069925736282034, 4.108810971657035, 1.0000000000000053, 0.1707031013171595, 5, 5, 19, 14, 689027, 689127, 14, 278.0390281677246, 47.829894065856934, 69.35931849479675
9, 0, 15, 16, 32, 67.38299472391998, 11, 24.069539088582058, 4.10832773970114, 1.0000000000000004, 0.17068576695970236, 5, 5, 19, 14, 689027, 689127, 14, 278.22620368003845, 47.698105335235596, 69.86680841445923
10, 0, 15, 16, 32, 67.38340267322401, 11, 24.069402297477343, 4.108218600574415, 0.9999999999999982, 0.17068220264883743, 5, 5, 19, 14, 689027, 689127, 14, 275.93305110931396, 47.364463090896606, 69.61145544052124
11, 0, 15, 16, 32, 67.38355012189605, 11, 24.069351451981934, 4.10818041312718, 0.9999999999999987, 0.17068097664878823, 5, 5, 19, 14, 689027, 689127, 14, 273.03402495384216, 46.44202160835266, 67.99677395820618
12, 0, 15, 16, 32, 67.38373311987961, 11, 24.069280322660774, 4.108127592670325, 1.0000000000000024, 0.1706792865261779, 5, 5, 19, 14, 689027, 689127, 14, 266.5240511894226, 45.72222709655762, 67.95282459259033
13, 0, 15, 16, 32, 67.38402686140239, 11, 24.069218425106058, 4.10807459602691, 0.9999999999999973, 0.17067752361006727, 5, 5, 19, 14, 689027, 689127, 14, 255.7378752231598, 43.90314221382141, 65.2131130695343
14, 0, 15, 16, 32, 67.38428150282633, 11, 24.069167427558796, 4.108022608913027, 0.9999999999999967, 0.17067572533520267, 5, 5, 19, 14, 689027, 689127, 14, 247.55509972572327, 42.52317237854004, 61.90313410758972
