step, iter, fidelity, l2_error_abs, l2_error_rel, l2_error_normalized, linsys_residual
0, 0, 0.9983985778822299, 0.13988334778034447, 0.051720838126165854, 0.04002578880984414, 2.904503195363245
1, 0, 0.9936293509260615, 0.047181416186736394, 0.16185155571111445, 0.0798800839686546, 0.7262666062889107
2, 0, 0.9885914925734451, 0.03912849816912356, 0.7788343660227094, 0.10696369888425396, 0.593186902657146
3, 0, 0.9933577392874, 0.03515800993810084, 0.8867439766638266, 0.08156793122290236, 0.53064944461037
4, 0, 0.9873254226114121, 0.017124048241675772, 0.4848045927670472, 0.11276078735133241, 0.21898861028032773
5, 0, 0.9888113591305153, 0.013907513228706004, 0.7891292415184771, 0.10592503767673947, 0.17218410768647419
6, 0, 0.9944056014400009, 0.013592875793150917, 0.9732838441952819, 0.07484814524632262, 0.16775435830856528
7, 0, 0.9945021004432372, 0.012057780227125819, 0.8867908259700589, 0.0741989024605869, 0.14840634295479269
8, 0, 0.9931103935628898, 0.008171216533515945, 0.6767349199462809, 0.08307535231065087, 0.10648838617140374
9, 0, 0.9947772937190925, 0.007666552927639529, 0.9345300444421704, 0.0723155813895565, 0.09879463766756556
10, 0, 0.996265132841606, 0.004958896108083828, 0.6464851670944984, 0.061142137631280534, 0.06744077679768017
11, 0, 0.996087682287853, 0.003545863463988147, 0.7130097068745351, 0.06257916405099644, 0.04883520045155562
12, 0, 0.9944180499229979, 0.0017449114254402811, 0.49134612503602715, 0.0747647071499867, 0.02322873794207139
13, 0, 0.9932028605194251, 0.0006539423182722762, 0.3737302387311834, 0.08251502395820128, 0.008081547486072971
14, 0, 0.9937643852867751, 0.0006417306598839293, 0.9790496213047618, 0.07902762720371412, 0.007894174789711883
