step, iter, fidelity, l2_error_abs, l2_error_rel, l2_error_normalized, linsys_residual
0, 0, 0.4970095194473676, 2.3465895870439692, 0.8676342259882726, 0.7681288683558675, 9.621328694075377
1, 0, 0.6821559958186552, 3.3043766338628147, 0.9440269475711743, 0.5900383800241233, 9.1031954573179
2, 0, 0.6262356906568577, 2.5955043004054894, 0.9215166887659383, 0.6459867668477173, 8.728526518715066
3, 0, 0.3707804485363327, 2.2119181160582926, 0.9449162267620083, 0.884400995209839, 8.150602748707733
4, 0, 0.5902757775062257, 1.8353895095169757, 0.91849827585074, 0.6807436085921016, 8.575901676900449
5, 0, 0.5783360604678425, 1.6064505440988084, 0.8545852811908817, 0.6921212377455614, 5.583557743388701
6, 0, 0.48666105918977265, 1.4215096498154927, 0.9824421698895652, 0.7776747835659513, 5.638298347866116
7, 0, 0.7671090765560726, 1.152623985851651, 0.8250961179363284, 0.4983018499159412, 4.898814639466724
8, 0, 0.7993692002911085, 0.811832135069759, 0.7993619362289706, 0.46027275890831, 2.6416082430677155
9, 0, 0.8309788201961504, 0.79735923082181, 0.9848914586188058, 0.42052253922753224, 2.558967596643649
10, 0, 0.8930107977033283, 0.6582410767213849, 0.8279472268881197, 0.33168513524895815, 2.162092238284714
11, 0, 0.8318393398798847, 0.6070571666533096, 0.944176442609727, 0.41939893139299816, 2.2383322939374652
12, 0, 0.8179480914363736, 0.5929797758822215, 0.9776713547960669, 0.4372531825259301, 2.2320903604134212
13, 0, 0.8856327502237074, 0.43665637630314874, 0.7374095677784436, 0.3432764804917329, 1.9392931108473426
14, 0, 0.6174763987399731, 0.3830932951485014, 0.860074632604585, 0.6545278221596811, 1.6064002279004894
