step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 95.97789014324577, 9, 22.405614510122508, 2.3074021727489433, 1.0, 0.1029832130561069, 5, 5, 19, 14, 689027, 689127, 14, 271.73876690864563, 45.78790736198425, 62.00000476837158
1, 0, 15, 16, 32, 87.22989826747278, 12, 22.62400157141467, 2.602428205908744, 1.0000000000000029, 0.11502952727853764, 5, 5, 19, 14, 689027, 689127, 14, 269.0913631916046, 44.6785101890564, 61.9675555229187
2, 0, 15, 16, 32, 80.39934307582669, 11, 22.08458326298659, 2.727128640311081, 0.9999999999999992, 0.12348562831528251, 5, 5, 19, 14, 689027, 689127, 14, 261.7889230251312, 43.70773100852966, 61.881213903427124
3, 0, 15, 16, 32, 79.0032204267946, 11, 22.131677145331604, 2.827907360287187, 0.9999999999999998, 0.12777646003586732, 5, 5, 19, 14, 689027, 689127, 14, 261.99361085891724, 44.11647963523865, 61.84880089759827
4, 0, 15, 16, 32, 48.378035359515565, 11, 21.856784190435924, 3.670545912978077, 1.0, 0.1679362289070984, 5, 5, 18, 13, 343170, 343251, 13, 128.2655098438263, 22.675687313079834, 25.915516138076782
5, 0, 15, 16, 32, 53.52316735589545, 12, 21.426946413626155, 3.2710159161641887, 1.0000000000000042, 0.15265898616725096, 5, 5, 18, 13, 343170, 343251, 13, 125.96064519882202, 21.8511803150177, 26.008360147476196
6, 0, 15, 16, 32, 58.400390554643835, 11, 21.53091427165779, 2.9708384676144575, 0.9999999999999993, 0.13798013545226595, 5, 5, 18, 13, 342916, 342997, 13, 128.4999930858612, 22.268375396728516, 25.97835922241211
7, 0, 15, 16, 32, 61.90698338993108, 13, 22.205041588609877, 3.1696458752626944, 1.0000000000000029, 0.14274442417115527, 5, 5, 18, 13, 342916, 342997, 13, 126.27546334266663, 21.985591173171997, 25.822991847991943
8, 0, 15, 16, 32, 65.37014241553257, 13, 22.500165019379285, 3.1754443857753447, 0.9999999999999988, 0.14112982651639866, 5, 5, 19, 14, 689027, 689127, 14, 260.8138155937195, 44.479496717453, 62.51244497299194
9, 0, 15, 16, 32, 65.62282810683541, 11, 23.040883315054714, 3.453910035121953, 0.9999999999999984, 0.14990354266779338, 5, 5, 19, 14, 689027, 689127, 14, 262.25273060798645, 44.002848625183105, 61.93811511993408
10, 0, 15, 16, 32, 65.89960142557953, 12, 23.143174416617697, 3.50950201125319, 0.9999999999999976, 0.151643069704959, 5, 5, 19, 14, 689027, 689127, 14, 262.02372336387634, 43.847332239151, 61.44849491119385
11, 0, 15, 16, 32, 65.91326762017839, 11, 23.14283555828583, 3.509009189900084, 1.0000000000000022, 0.15162399529921683, 5, 5, 19, 14, 689027, 689127, 14, 257.54982900619507, 43.50753116607666, 61.81560707092285
12, 0, 15, 16, 32, 65.70320880733095, 11, 23.286685313015532, 3.5711414091555915, 1.000000000000002, 0.15335550599636397, 5, 5, 19, 14, 689027, 689127, 14, 257.3790578842163, 43.38557291030884, 61.46071219444275
13, 0, 15, 16, 32, 65.55994353628189, 11, 23.32669855745397, 3.6024943956846265, 0.9999999999999996, 0.1544365306051187, 5, 5, 19, 14, 689027, 689127, 14, 257.21440529823303, 43.40273427963257, 62.23267149925232
14, 0, 15, 16, 32, 64.98422628671825, 12, 23.41504030863721, 3.706638358681903, 1.0000000000000004, 0.15830160058766166, 5, 5, 19, 14, 689027, 689127, 14, 257.1377112865448, 43.552183866500854, 61.62610721588135
