step, iter, fidelity, l2_error_abs, l2_error_rel, l2_error_normalized, linsys_residual
0, 0, 0.9706599418596968, 1.0933318401826544, 0.40425139962382195, 0.17192580997748294, 5.106839585783099
1, 0, 0.9719640179605348, 0.5572982196225758, 0.533056204785717, 0.16803359764924844, 3.32938377661083
2, 0, 0.8815098342903639, 0.2281209636383011, 0.4919644940815361, 0.3496067749285495, 2.884866364540174
3, 0, 0.8541053853095485, 0.09462367336765408, 0.44210792776019037, 0.38941437668342826, 2.087560396659298
4, 0, 0.18805862184743577, 0.08433510330442019, 0.9123817132188431, 1.064276972306258, 1.8216467806122292
5, 0, 0.4509621961410684, 0.06477731341769122, 0.7575880981384099, 0.8105094830430163, 1.1342914994477813
6, 0, 0.5996063861277664, 0.04272358029992968, 0.6739959806404231, 0.6717997456150472, 1.0347953444259732
7, 0, 0.4551055023241806, 0.03537415567615555, 0.8331399753379711, 0.8067030715764744, 0.7185711862546373
8, 0, 0.7004071543532908, 0.030367662058089946, 0.8559676869352237, 0.5711334127360634, 0.5901961406573296
9, 0, 0.7296749069824684, 0.0163562973749697, 0.5371100235955617, 0.5399812829205759, 0.36979812693750663
10, 0, 0.6194020582938955, 0.011489243568904859, 0.698137143392912, 0.652654575640418, 0.24166640094900485
11, 0, 0.8697627938444028, 0.009554931652357974, 0.8293031753785228, 0.36712193943137117, 0.19052430085140468
12, 0, 0.6121933508322878, 0.008231486064946104, 0.8622563871105532, 0.6596546723381657, 0.14918986398133965
13, 0, 0.6740532886808892, 0.007931149215037108, 0.9644258914786658, 0.5983185039128941, 0.14252678790714873
14, 0, 0.6290163591950636, 0.006638084627482376, 0.8370615680820954, 0.6432643067949059, 0.12341754595684992
0, 0, 0.9432014555077455, 1.4532472936760732, 0.5373274891271244, 0.24006002282580652, 4.822142112614678
1, 0, 0.9738847822557334, 0.8610066818199383, 0.6266657701496595, 0.16213569084850055, 3.838877916399101
2, 0, 0.9720650908957142, 0.3254864422731542, 0.4054473494450485, 0.16772826930467966, 1.5509004578183214
3, 0, 0.9696766237578409, 0.13680553781230678, 0.4084336969501431, 0.17480505095080434, 0.8473101935276809
4, 0, 0.9098799818008193, 0.04901902455822225, 0.5094393853023692, 0.3037225947686974, 0.547618994212226
5, 0, 0.7572180558918467, 0.034322656261730526, 0.7072791839361272, 0.5095433807951519, 0.4783915526128206
6, 0, 0.6955155514158853, 0.023928823588129443, 0.6950156829451594, 0.5762364967671005, 0.40902771358410217
7, 0, 0.6050581378525481, 0.015923623507156943, 0.6700654195209473, 0.6665510770608455, 0.2745080869198709
8, 0, 0.7532666261937447, 0.008033950114435506, 0.5067890598299885, 0.5139857154601547, 0.16916774656726644
9, 0, 0.5244021236434794, 0.005612143178153843, 0.6978094279441566, 0.74275682979128, 0.10024800316931673
10, 0, 0.8107872383452686, 0.004628908186785893, 0.8198023964337403, 0.4462348071994879, 0.07388387027502887
11, 0, 0.8611163394536232, 0.0034199223643567437, 0.7392206986451479, 0.379569376403739, 0.05446777033179818
12, 0, 0.6383354650915819, 0.0032452101328714184, 0.9495660007655308, 0.6340993796441502, 0.051942219005497774
13, 0, 0.7770039981338696, 0.00247270211933846, 0.7620196661144507, 0.48687102460124854, 0.038364869499704045
14, 0, 0.8078674375059485, 0.0016616559458970009, 0.6721768996626581, 0.4498567278016944, 0.03233246633606786
