step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 95.97789014324577, 9, 22.405614510122508, 2.3074021727489433, 1.0, 0.1029832130561069, 5, 5, 19, 14, 689027, 689127, 14, 276.8935236930847, 49.3036003112793, 70.65619277954102
1, 0, 15, 16, 32, 88.40052962494929, 11, 22.464365189955643, 2.6773674773394087, 1.0000000000000042, 0.11918286827604367, 5, 5, 19, 14, 689027, 689127, 14, 280.69769048690796, 48.111591815948486, 69.58289861679077
2, 0, 15, 16, 32, 71.14815460517397, 12, 23.81269446504414, 3.2585605991781152, 0.9999999999999996, 0.1368413223443279, 5, 5, 19, 14, 689027, 689127, 14, 281.83178305625916, 48.025054693222046, 69.6498818397522
3, 0, 15, 16, 32, 76.27969443596581, 11, 23.576849622676697, 3.5750991856908154, 1.0000000000000004, 0.15163600069163588, 5, 5, 19, 14, 689027, 689127, 14, 281.9940495491028, 47.524497270584106, 69.16002225875854
4, 0, 15, 16, 32, 69.19915982055197, 11, 24.573962918695223, 4.248954056924474, 0.9999999999999967, 0.17290471508329575, 5, 5, 19, 14, 689027, 689127, 14, 277.9585015773773, 47.91028618812561, 68.89465308189392
5, 0, 15, 16, 32, 68.34061165216532, 11, 24.52562304175671, 4.269083585237794, 0.9999999999999998, 0.17406626441127931, 5, 5, 19, 14, 689027, 689127, 14, 280.99152088165283, 47.6284613609314, 68.38789010047913
6, 0, 15, 16, 32, 67.87716410886381, 11, 24.483981888042127, 4.2541536518294265, 0.9999999999999944, 0.17375252404949446, 5, 5, 19, 14, 689027, 689127, 14, 282.1367766857147, 47.68171167373657, 67.87977933883667
7, 0, 15, 16, 32, 67.86736522757306, 11, 24.363289326361585, 4.211377005964905, 0.9999999999999998, 0.1728574885579228, 5, 5, 19, 14, 689027, 689127, 14, 281.73408246040344, 47.90250754356384, 68.91438007354736
8, 0, 15, 16, 32, 67.72954101504439, 11, 24.35415264172692, 4.218493525807049, 0.9999999999999971, 0.17321454734497116, 5, 5, 19, 14, 689027, 689127, 14, 280.75794982910156, 47.95041561126709, 69.19544744491577
9, 0, 15, 16, 32, 67.80304771434432, 11, 24.318420749594623, 4.204147336762671, 0.9999999999999967, 0.17287912648820963, 5, 5, 19, 14, 689027, 689127, 14, 280.2212290763855, 47.84621739387512, 69.15133428573608
10, 0, 15, 16, 32, 67.66977852426172, 11, 24.30468548157358, 4.201664942850445, 1.0000000000000009, 0.17287468895805683, 5, 5, 19, 14, 689027, 689127, 14, 280.5959951877594, 47.47743892669678, 67.95007753372192
11, 0, 15, 16, 32, 67.44211389999556, 11, 24.256371766785758, 4.201320842049803, 1.000000000000001, 0.17320483386565974, 5, 5, 19, 14, 689027, 689127, 14, 279.09947085380554, 47.30660033226013, 67.0111243724823
12, 0, 15, 16, 32, 67.42675036453464, 11, 24.243986804146182, 4.197421901700185, 1.000000000000002, 0.17313249407404951, 5, 5, 19, 14, 689027, 689127, 14, 273.7247474193573, 46.507890701293945, 65.9158308506012
13, 0, 15, 16, 32, 67.41478251858344, 11, 24.23495487763842, 4.193853027476011, 1.0000000000000024, 0.1730497559682141, 5, 5, 19, 14, 689027, 689127, 14, 266.9421851634979, 45.120229721069336, 63.55563998222351
14, 0, 15, 16, 32, 67.34880852910445, 11, 24.220376699099145, 4.192042239083981, 1.0000000000000038, 0.17307915112814454, 5, 5, 19, 14, 689027, 689127, 14, 261.6769292354584, 43.537065744400024, 61.245728969573975
0, 0, 15, 16, 32, 95.97789014324577, 9, 22.405614510122508, 2.3074021727489433, 1.0, 0.1029832130561069, 5, 5, 19, 14, 689027, 689127, 14, 267.9101650714874, 46.01510047912598, 61.923314332962036
1, 0, 15, 16, 32, 93.92009421308876, 12, 22.20386412568562, 2.5173378157526147, 0.9999999999999992, 0.11337386148208897, 5, 5, 19, 14, 689027, 689127, 14, 268.72582387924194, 44.9352605342865, 61.38451099395752
2, 0, 15, 16, 32, 82.00087068258678, 13, 22.675882759768093, 3.1823550121258664, 1.0000000000000004, 0.14034095368371066, 5, 5, 19, 14, 689027, 689127, 14, 267.90085005760193, 45.46508836746216, 61.42131161689758
3, 0, 15, 16, 32, 72.50199199196338, 11, 23.170148360941102, 3.458441949664111, 1.0000000000000004, 0.14926283145834926, 5, 5, 19, 14, 689027, 689127, 14, 266.4999165534973, 44.90296721458435, 61.77439546585083
4, 0, 15, 16, 32, 66.70157441828874, 11, 23.79760782014507, 4.2278912055101285, 0.9999999999999969, 0.1776603445801467, 5, 5, 19, 14, 689027, 689127, 14, 267.8463864326477, 44.41453003883362, 61.898030281066895
5, 0, 15, 16, 32, 66.63562894835815, 11, 23.8021998156158, 4.235617306049048, 1.000000000000001, 0.1779506658569516, 5, 5, 19, 14, 689027, 689127, 14, 266.631290435791, 43.82260847091675, 61.80921387672424
6, 0, 15, 16, 32, 66.23726998774491, 11, 23.750898963067613, 4.207305970083034, 1.0000000000000049, 0.17714302000211943, 5, 5, 19, 14, 689027, 689127, 14, 266.19195222854614, 44.10847067832947, 61.08189153671265
7, 0, 15, 16, 32, 66.27981771016879, 11, 23.77030461777732, 4.195685071137706, 0.9999999999999989, 0.17650952053849087, 5, 5, 19, 14, 689027, 689127, 14, 266.07327580451965, 43.64083456993103, 61.19950032234192
8, 0, 15, 16, 32, 67.05935524181257, 11, 24.07001334302101, 4.276416386003041, 0.9999999999999993, 0.17766572560887067, 5, 5, 19, 14, 689027, 689127, 14, 266.33770871162415, 43.7939772605896, 61.43498969078064
9, 0, 15, 16, 32, 68.3162900397809, 11, 23.99143017171595, 4.136436721693843, 1.0000000000000004, 0.17241309467954888, 5, 5, 19, 14, 689027, 689127, 14, 265.28993248939514, 43.28777599334717, 61.579777240753174
10, 0, 15, 16, 32, 68.05791347474764, 11, 23.99737908522694, 4.153435790978126, 1.0, 0.17307872564862894, 5, 5, 19, 14, 689027, 689127, 14, 265.25155425071716, 43.54553008079529, 61.203941106796265
11, 0, 15, 16, 32, 67.99794614630815, 11, 24.02109982155594, 4.145975498794487, 1.0000000000000018, 0.17259723866073642, 5, 5, 19, 14, 689027, 689127, 14, 265.30722641944885, 43.01377296447754, 61.3687744140625
12, 0, 15, 16, 32, 67.75860877806515, 11, 24.01957484567448, 4.072776751242603, 0.9999999999999996, 0.16956073441808056, 5, 5, 19, 14, 689027, 689127, 14, 263.2766137123108, 43.36456799507141, 61.29842972755432
13, 0, 15, 16, 32, 67.75463619125269, 11, 24.02649910874382, 4.069689254050964, 1.0000000000000009, 0.1693833644107533, 5, 5, 19, 14, 689027, 689127, 14, 263.0018892288208, 42.81036591529846, 61.67089605331421
14, 0, 15, 16, 32, 67.5801758095912, 11, 24.050365052812328, 4.078691536650294, 0.9999999999999998, 0.16958958950077826, 5, 5, 19, 14, 689027, 689127, 14, 259.0731256008148, 43.54002785682678, 55.38562345504761
