step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 95.97789014324577, 9, 22.405614510122508, 2.3074021727489433, 1.0, 0.1029832130561069, 5, 5, 19, 14, 689027, 689127, 14, 268.2205171585083, 44.99810218811035, 61.301082372665405
1, 0, 15, 16, 32, 72.64192099105628, 11, 23.744852878796518, 3.7613641482585947, 1.0000000000000033, 0.15840755752238717, 5, 5, 19, 14, 689027, 689127, 14, 262.0882670879364, 44.09779405593872, 60.62769317626953
2, 0, 15, 16, 32, 65.92508568529003, 11, 23.97125317048112, 4.179778481422251, 0.9999999999999996, 0.17436628997642004, 5, 5, 19, 14, 689027, 689127, 14, 259.6186800003052, 43.47290515899658, 60.82106065750122
3, 0, 15, 16, 32, 66.93253249418898, 11, 24.030575027053455, 4.1234063590434324, 0.9999999999999962, 0.17158999959016022, 5, 5, 19, 14, 689027, 689127, 14, 256.5856430530548, 44.27400350570679, 61.04632878303528
4, 0, 15, 16, 32, 67.23144287389849, 11, 24.066617578279867, 4.117588365427782, 1.0000000000000022, 0.17109127828348894, 5, 5, 19, 14, 689027, 689127, 14, 258.79607343673706, 43.98254656791687, 61.019914865493774
5, 0, 15, 16, 32, 67.3728655678822, 11, 24.067977380211303, 4.106878747127599, 0.9999999999999987, 0.17063663814576638, 5, 5, 19, 14, 689027, 689127, 14, 253.84119129180908, 43.47455620765686, 61.237255811691284
6, 0, 15, 16, 32, 67.39200883041259, 11, 24.067374818217196, 4.107162254135836, 0.9999999999999996, 0.1706526900070134, 5, 5, 19, 14, 689027, 689127, 14, 252.6226933002472, 44.43844795227051, 61.126254081726074
7, 0, 15, 16, 32, 67.38429378193909, 11, 24.06839835766763, 4.107734053525976, 0.9999999999999996, 0.17066919005091785, 5, 5, 19, 14, 689027, 689127, 14, 254.93167781829834, 44.34520387649536, 60.87444853782654
8, 0, 15, 16, 32, 67.38592125279443, 11, 24.06920162098351, 4.107919003292019, 1.0000000000000004, 0.17067117837887583, 5, 5, 19, 14, 689027, 689127, 14, 252.02119731903076, 43.96001124382019, 61.042068004608154
9, 0, 15, 16, 32, 67.38502668484843, 11, 24.068977265404065, 4.1078795849200755, 1.0000000000000007, 0.17067113154095778, 5, 5, 19, 14, 689027, 689127, 14, 254.11015629768372, 43.41890621185303, 61.046536684036255
10, 0, 15, 16, 32, 67.38504623798858, 11, 24.068938187771334, 4.107845495041644, 0.9999999999999987, 0.17066999229441432, 5, 5, 19, 14, 689027, 689127, 14, 253.97887659072876, 44.12742614746094, 60.41027331352234
11, 0, 15, 16, 32, 67.3850660966861, 11, 24.068933155412008, 4.107840272097634, 0.9999999999999993, 0.1706698109788869, 5, 5, 19, 14, 689027, 689127, 14, 253.87374067306519, 44.0923228263855, 60.86895680427551
12, 0, 15, 16, 32, 67.38505484258602, 11, 24.068918665228363, 4.107828389245114, 0.9999999999999993, 0.1706694200259005, 5, 5, 19, 14, 689027, 689127, 14, 253.69547653198242, 44.12301182746887, 61.23006057739258
13, 0, 15, 16, 32, 67.38502868662016, 11, 24.06890678901806, 4.107823677721538, 0.9999999999999991, 0.17066930848707315, 5, 5, 19, 14, 689027, 689127, 14, 254.06427145004272, 43.864903688430786, 61.1139497756958
14, 0, 15, 16, 32, 67.38503047808585, 11, 24.068901805315647, 4.107820265270294, 1.000000000000004, 0.1706692020473941, 5, 5, 19, 14, 689027, 689127, 14, 253.1794536113739, 42.95078468322754, 61.35313653945923
