step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 95.97789014324577, 9, 22.405614510122508, 2.3074021727489433, 1.0, 0.1029832130561069, 5, 5, 19, 14, 689027, 689127, 14, 268.61274218559265, 45.6804039478302, 62.35551929473877
1, 0, 15, 16, 32, 68.58488734849459, 11, 23.665589310239135, 3.8554839003208645, 0.9999999999999993, 0.1629151866779305, 5, 5, 19, 14, 689027, 689127, 14, 269.9407207965851, 45.4837589263916, 61.617881536483765
2, 0, 15, 16, 32, 66.60812648876079, 11, 24.063359493568033, 4.140336295638749, 0.9999999999999969, 0.17205977813469564, 5, 5, 19, 14, 689027, 689127, 14, 267.5837519168854, 45.02135467529297, 61.89009118080139
3, 0, 15, 16, 32, 67.2751429530025, 11, 24.06048931802622, 4.103724541867905, 1.0000000000000013, 0.1705586485638667, 5, 5, 19, 14, 689027, 689127, 14, 262.16542172431946, 43.468801498413086, 61.92062854766846
4, 0, 15, 16, 32, 67.40733773969409, 11, 24.068748524192667, 4.121015323641318, 1.000000000000001, 0.1712185126492586, 5, 5, 19, 14, 689027, 689127, 14, 259.62341356277466, 43.81928825378418, 61.76886963844299
5, 0, 15, 16, 32, 67.3459587551679, 11, 24.06809174677024, 4.114576464672524, 1.0000000000000033, 0.17095565813707161, 5, 5, 19, 14, 689027, 689127, 14, 261.2251853942871, 44.13212013244629, 61.862547636032104
6, 0, 15, 16, 32, 67.34859588002907, 11, 24.06846780900678, 4.112299223804023, 0.9999999999999971, 0.17085837189291828, 5, 5, 19, 14, 689027, 689127, 14, 261.3977053165436, 43.51047110557556, 62.093098878860474
7, 0, 15, 16, 32, 67.37244207941406, 11, 24.06808727611207, 4.109135473553765, 0.9999999999999996, 0.170729623273061, 5, 5, 19, 14, 689027, 689127, 14, 260.7617492675781, 43.59635019302368, 62.34591054916382
8, 0, 15, 16, 32, 67.37752428645814, 11, 24.06828865832528, 4.1085612525018105, 0.9999999999999998, 0.17070433676557378, 5, 5, 19, 14, 689027, 689127, 14, 260.3519423007965, 43.814645528793335, 62.394835233688354
9, 0, 15, 16, 32, 67.37806237243103, 11, 24.068417651566136, 4.108464581730434, 1.0000000000000022, 0.17069940538708728, 5, 5, 19, 14, 689027, 689127, 14, 259.61369013786316, 43.75117015838623, 62.38711428642273
10, 0, 15, 16, 32, 67.37863021402029, 11, 24.068446313012455, 4.108398748685942, 0.9999999999999984, 0.17069646687018492, 5, 5, 19, 14, 689027, 689127, 14, 261.47882866859436, 43.31995606422424, 62.00047016143799
11, 0, 15, 16, 32, 67.38013148986762, 11, 24.06855565377555, 4.108253474595981, 0.9999999999999984, 0.1706896555694041, 5, 5, 19, 14, 689027, 689127, 14, 259.2310652732849, 43.53591060638428, 62.128958225250244
12, 0, 15, 16, 32, 67.38091631814991, 11, 24.068591143317768, 4.108151046794336, 1.0000000000000018, 0.1706851482221007, 5, 5, 19, 14, 689027, 689127, 14, 251.29634809494019, 42.06050658226013, 61.97840189933777
13, 0, 15, 16, 32, 67.38232668622383, 11, 24.068751610024048, 4.108055744457245, 0.9999999999999973, 0.17068005067393402, 5, 5, 19, 14, 689027, 689127, 14, 248.8198058605194, 42.0768096446991, 62.01222276687622
14, 0, 15, 16, 32, 67.3825045916221, 11, 24.068758535805987, 4.108041279029916, 1.0000000000000018, 0.17067940055647593, 5, 5, 19, 14, 689027, 689127, 14, 247.84171533584595, 41.93632698059082, 62.31305289268494
