xp, rho, u, p, Mach
0.05,1.00397057760101,1.4951005719172714,0.7183467009741422,1.4938253729542244
0.15,1.0006934099041263,1.497927800421776,0.7152732535643263,1.4974122795339244
0.25,0.9651699272129683,1.5309285849616512,0.6787594306176593,1.5428896537866696
0.35,0.8596740947039558,1.6265312434959007,0.5724545483536954,1.6845922830061761
0.45,0.6798331487415581,1.7777584662011292,0.40035191963165795,1.9578929771776727
0.55,0.5345842127210718,1.9298815009446324,0.26622676325748545,2.311260162874823
0.65,0.4693656189479313,2.019654679476836,0.20656703272351845,2.572990803506546
0.75,0.4498745157123393,2.0413915204203876,0.19044413972828847,2.651698714362433
0.85,0.4477834268087214,2.034462745468178,0.19086177107365293,2.633663329643413
0.95,0.45172977274341053,2.0138277686832975,0.19683494510535873,2.5783778583833485
