xp, rho, u, p, Mach
0.05,1.0025672407993644,1.4968881704529422,0.7176094220476575,1.4953333769870192
0.15,1.0029736372079192,1.4962977611108843,0.7171113234532887,1.495565633955922
0.25,0.9725221454556203,1.5232686629344974,0.6873189924176719,1.5313803400265236
0.35,0.8845087795723301,1.587100304654687,0.6011382388148839,1.627062568063712
0.45,0.7181131568122913,1.691300855513218,0.45242375126607665,1.8008626644397272
0.55,0.5838942022179794,1.7767104704676597,0.33974891626718456,1.9685238698623082
0.65,0.5214876275325269,1.8224966401622755,0.29031405982706804,2.0643849701892094
0.75,0.49493430806479244,1.8632433908508812,0.26713094469596543,2.143469219161586
0.85,0.48607688355256573,1.8771110857725721,0.2587928878848378,2.1742139210328904
0.95,0.483877053043623,1.8724456216909653,0.2592025516037727,2.1621861120828063
