xp, rho, u, p, Mach
0.025,0.9997939687348787,1.5001267422149558,0.7140796304862752,1.5001886285618775
0.075,0.999276817635805,1.500407305000857,0.7135625305185833,1.5006245243121419
0.125,0.998298768763191,1.5008453598948073,0.712585838656792,1.50135572070848
0.175,0.9959182501682777,1.5020338847991583,0.7102066266109336,1.5032637940590567
0.225,0.9892062113933964,1.5061816068281773,0.7034822529652723,1.5094897432569856
0.275,0.9720803291343051,1.5179729359656922,0.6863780475543239,1.5267551572200588
0.325,0.9358258515933637,1.543706002054335,0.6506788581822103,1.5646411428849039
0.375,0.8731029148295325,1.5876843580474054,0.5905975239290313,1.631499918365806
0.425,0.7855909740241005,1.6475270542278797,0.5100197486762919,1.7281175596087002
0.475,0.6895914528099181,1.71323056499624,0.4256010631149736,1.8430893046131176
0.525,0.6074607671714152,1.7722206321793927,0.3565158488049645,1.9551202192720163
0.575,0.5507347426818417,1.8161371093408467,0.3105150813276616,2.044158197444197
0.625,0.5172041049088637,1.8439130397601002,0.2840543282894357,2.1028422472876205
0.675,0.4993141548146437,1.859421616054398,0.27020427257158874,2.1362628617514074
0.725,0.4903658224443448,1.8673847785014202,0.2633662243365718,2.1535246851893377
0.775,0.4860665767543561,1.8712664404029282,0.26010896566251185,2.161931002761193
0.825,0.48405298378416384,1.8730993346380955,0.25859179264333926,2.165887396477329
0.875,0.483122035818636,1.873952053233575,0.2578927964600087,2.1677204496651097
0.925,0.4826865726698768,1.874365996401837,0.2575665538492585,2.1685940126482315
0.975,0.4824765668916463,1.874556701230044,0.2574094186720793,2.1690045311634125
