step, iter, fidelity, l2_error_abs, l2_error_rel, l2_error_normalized, linsys_residual
0, 0, 0.9938873730179326, 4.1631441824204405, 0.7696194977291432, 0.07824318943489342, 19.482405246948066
1, 0, 0.9890097135412025, 3.0616788824861616, 0.75751199101055, 0.10497928434306242, 15.427992878962115
2, 0, 0.9882667803558192, 2.536842307400358, 0.8605979974142063, 0.10847967625175972, 14.572440533575485
3, 0, 0.9842708405213507, 2.0289264861142136, 0.8102292602477073, 0.1256642445781158, 13.342572756785728
4, 0, 0.9808329448700911, 1.3025677714024695, 0.6544276028332896, 0.13877964550932595, 10.490242824240246
5, 0, 0.9721936697625374, 0.9769239199641295, 0.7717799863704665, 0.16733906694318057, 8.265160160113647
6, 0, 0.9767196841147314, 0.7466188120672326, 0.7755442349388603, 0.15302748006157005, 7.370750390199384
7, 0, 0.9743199847264273, 0.5776669781011425, 0.7811187928798713, 0.16077012330167864, 6.527199532606034
8, 0, 0.9421771452498137, 0.4281886498875277, 0.7453293654170813, 0.24224739813172888, 5.7630697716054415
9, 0, 0.9470550226311606, 0.34804133441587676, 0.8153855763872775, 0.23165698636975499, 5.188537864673958
10, 0, 0.91384223793478, 0.27016430179429873, 0.7806006298954472, 0.2968132072359411, 4.455031240416659
11, 0, 0.9257736351380303, 0.2123632505044012, 0.7911017649953304, 0.2750588563175306, 4.103043755539377
12, 0, 0.8653957576273315, 0.18903462093619883, 0.8937986780614399, 0.3734528131496641, 3.8300447331625476
13, 0, 0.8676663240343686, 0.1470946237412351, 0.7795132216318191, 0.37017270658327484, 3.125195150792613
14, 0, 0.8352692322714175, 0.13871738538412293, 0.9473292835681998, 0.41489601204095106, 3.0244574744605344
