step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 95.97789014324577, 9, 22.405614510122508, 2.3074021727489433, 1.0, 0.1029832130561069, 5, 5, 19, 14, 22395, 22499, 14, 8.039608478546143, 1.9399538040161133, 2.112230062484741
1, 0, 15, 16, 32, 58.11372203940838, 11, 24.084399503851998, 4.636034688032254, 0.9999999999999989, 0.19249118863398657, 5, 5, 18, 13, 19308, 19393, 13, 7.398919105529785, 1.4455225467681885, 1.512413740158081
2, 0, 15, 16, 32, 59.450369651356915, 11, 24.07815222799458, 4.528436295099822, 1.0000000000000013, 0.18807241736078173, 5, 5, 18, 13, 19304, 19389, 13, 7.616740703582764, 1.4920680522918701, 1.4997897148132324
3, 0, 15, 16, 32, 68.36389652362138, 11, 24.10369031395385, 4.1424738917025765, 1.0000000000000029, 0.17186056731339774, 5, 5, 19, 14, 22395, 22499, 14, 8.921759843826294, 1.7188584804534912, 2.048340082168579
4, 0, 15, 16, 32, 68.20708004057423, 11, 24.081359022743545, 4.102559883750656, 0.9999999999999976, 0.17036247330875362, 5, 5, 19, 14, 22395, 22499, 14, 8.852949857711792, 1.6542022228240967, 2.0679116249084473
5, 0, 15, 16, 32, 67.98447161655653, 11, 24.079505724941505, 4.106523266689286, 1.0, 0.17054018108169675, 5, 5, 19, 14, 22393, 22497, 14, 8.788499355316162, 1.700744390487671, 2.0288002490997314
6, 0, 15, 16, 32, 67.70973919783341, 11, 24.07503954909918, 4.109843057489963, 0.9999999999999949, 0.1707097115711169, 5, 5, 19, 14, 22393, 22497, 14, 8.620597839355469, 2.0061745643615723, 2.0411901473999023
7, 0, 15, 16, 32, 67.54820322819423, 11, 24.069575602563308, 4.107387648952643, 1.0, 0.17064645080469307, 5, 5, 19, 14, 22395, 22499, 14, 8.51708459854126, 1.6977131366729736, 2.0418992042541504
8, 0, 15, 16, 32, 67.33506458804574, 11, 24.060976429705683, 4.1071634784615085, 1.0000000000000024, 0.1706981215189101, 5, 5, 19, 14, 22395, 22499, 14, 8.847472190856934, 1.692929744720459, 2.038827896118164
9, 0, 15, 16, 32, 67.43073307384681, 11, 24.06982920667531, 4.10605999069658, 0.9999999999999991, 0.17058949423529104, 5, 5, 19, 14, 22395, 22499, 14, 8.730267763137817, 1.9467737674713135, 2.052018880844116
10, 0, 15, 16, 32, 67.36671500610606, 11, 24.060523563346727, 4.104106860331561, 1.0000000000000002, 0.17057429567258722, 5, 5, 19, 14, 22395, 22499, 14, 8.6247239112854, 1.9865975379943848, 2.0279722213745117
11, 0, 15, 16, 32, 67.39477740269201, 11, 24.068944768619172, 4.108871710178696, 0.9999999999999969, 0.17071258211268964, 5, 5, 19, 14, 22395, 22499, 14, 8.59463095664978, 1.714264154434204, 2.033809185028076
12, 0, 15, 16, 32, 67.37578357124298, 11, 24.06834688070458, 4.107891622044071, 0.9999999999999976, 0.17067610178650702, 5, 5, 19, 14, 22395, 22499, 14, 8.780238389968872, 1.9750449657440186, 2.0249719619750977
13, 0, 15, 16, 32, 67.37631958601685, 11, 24.06813745043849, 4.107598777893108, 1.0000000000000062, 0.17066541963837129, 5, 5, 19, 14, 22393, 22497, 14, 8.492288827896118, 1.6613576412200928, 1.9764304161071777
14, 0, 15, 16, 32, 67.39078174078527, 11, 24.068246777531712, 4.1070522051161555, 1.0000000000000027, 0.17064193512217973, 5, 5, 19, 14, 22395, 22499, 14, 8.444823741912842, 1.5479183197021484, 1.8878517150878906
