step, iter, fidelity, l2_error_abs, l2_error_rel, l2_error_normalized, linsys_residual
0, 0, 0.9982686610405552, 0.06671655624779503, 0.045434307372374055, 0.04161837325646328, 0.8560524514676653
1, 0, 0.999497603063158, 0.01845963245293079, 0.03117394460754562, 0.02241562074464571, 0.3367189478518946
2, 0, 0.99954062940569, 0.013280927088010012, 0.04846066042185497, 0.021434163425850274, 0.07519964027357114
3, 0, 0.9989969266171211, 0.004540638247795658, 0.03260893373484037, 0.031675306599414504, 0.05328799189099044
4, 0, 0.997779519406586, 0.0036303499172075197, 0.05570823700175245, 0.047135067596767596, 0.056349145380205926
5, 0, 0.9968128038385503, 0.003992792190448209, 0.14596298388099743, 0.05647778121882533, 0.021972369581870547
6, 0, 0.995558614582278, 0.0016298624715342612, 0.12889782302971953, 0.06668079090424617, 0.007868866652729456
7, 0, 0.996049803754876, 0.0014247783982239276, 0.2544709142373341, 0.06288167445030164, 0.00746277006129364
8, 0, 0.9961837338428792, 0.0014070864607525374, 0.5092581532554837, 0.061805453586525415, 0.008920629549607902
9, 0, 0.9970274597082173, 0.0009913541013582188, 0.5423787677734108, 0.054541292430648806, 0.006381162674967606
10, 0, 0.9969023769488307, 0.0007712889721708193, 0.619454978357527, 0.05567787344023087, 0.005089999439285166
11, 0, 0.997798315100321, 0.0005767351577349846, 0.6349991884514836, 0.046935041170414346, 0.00393872595845586
12, 0, 0.9974503720844754, 0.000424389547780519, 0.6337260081419812, 0.050509950912759886, 0.002796856981364274
13, 0, 0.9975909775440213, 0.00034455542068201247, 0.6981877513915958, 0.0490965890205584, 0.002371399377094915
14, 0, 0.998167918574563, 0.0002773629886313312, 0.715851098666791, 0.04281263044432216, 0.001856839025839928
