step, iter, fidelity, l2_error_abs, l2_error_rel, l2_error_normalized, linsys_residual
0, 0, 0.9995209707341465, 0.04173686312889818, 0.0284230118400294, 0.02188804803671196, 0.772660903997849
1, 0, 0.9998731536944732, 0.00702811351611018, 0.011285657873414883, 0.011262785103081185, 0.1411562574019726
2, 0, 0.9996813327806496, 0.007072811747405572, 0.023566717307061405, 0.017851963774207325, 0.13922781639004797
3, 0, 0.9982409285325486, 0.006619375072464642, 0.04376730557861519, 0.04195051527337029, 0.08075566782156011
4, 0, 0.9976555627599016, 0.003359817989690309, 0.04843104516114276, 0.048433593194156146, 0.07694045497647835
5, 0, 0.9954385665382256, 0.0024322004068795676, 0.08740680353839134, 0.06757697113694557, 0.014160190059577258
6, 0, 0.9960303529302633, 0.0021988543350238933, 0.2032149441540659, 0.06303645320697568, 0.012044221001821509
7, 0, 0.9961190675050227, 0.0015525022030642808, 0.29937938620430155, 0.062327403512855185, 0.008775137451102921
8, 0, 0.9964732651611868, 0.00164183848391663, 0.5957619798729991, 0.059412539069703396, 0.010218236540770238
9, 0, 0.996744578358082, 0.0013255752197911242, 0.6726881379206248, 0.057079553307195274, 0.008185525841202022
10, 0, 0.997902324639973, 0.001016714494030676, 0.6677450691730362, 0.04581240635243202, 0.006281088416621796
11, 0, 0.9986987966236616, 0.0007829661761935685, 0.6694889239058389, 0.03607806722238766, 0.00493196376900751
12, 0, 0.9980638694165735, 0.0006238307009430557, 0.6911190684492116, 0.04401214198546001, 0.003933575337715044
13, 0, 0.9979600534006791, 0.0005422435527082678, 0.7618506330533392, 0.04517729526340954, 0.003430825938322191
14, 0, 0.9976955596071676, 0.0005456151998488252, 0.9099192482691036, 0.048018429129599215, 0.0034451400288753793
