step, iter, fidelity, l2_error_abs, l2_error_rel, l2_error_normalized, linsys_residual
0, 0, 0.9984245202460456, 0.09045362253631599, 0.048625301016853216, 0.03970013573489901, 0.8211303848631216
1, 0, 0.9995527265221178, 0.037708648763546695, 0.06913758981643373, 0.02115002369883026, 0.3726059226740987
2, 0, 0.9991272527627124, 0.0073159676766747644, 0.039293537417528106, 0.029545519835720676, 0.07673991868036444
3, 0, 0.9987814754047748, 0.0019881210553667587, 0.037912555528062004, 0.03491269141878761, 0.015012052863331501
4, 0, 0.9980770083199363, 0.002473742082716413, 0.18866395445717146, 0.0438624787747104, 0.011792310717586178
5, 0, 0.9980580043854557, 0.0008948578620292832, 0.19904334830715573, 0.04407878591669578, 0.0041568417804989126
6, 0, 0.9983464229741938, 0.0009477184354461323, 0.6324629854766721, 0.04067260958935083, 0.005426256302202417
7, 0, 0.9985101336249488, 0.0007109694985679769, 0.6844879321138535, 0.038605980291492266, 0.004059664072318132
8, 0, 0.9988136652473109, 0.0005406095270802171, 0.7094461019755539, 0.03444832084555181, 0.003183400794461734
9, 0, 0.9985983087369069, 0.00041887198939747467, 0.7259415757705758, 0.037445731295132095, 0.0024218241161266694
10, 0, 0.9981950220123494, 0.0003214128236120432, 0.7228153337709597, 0.04249462565914998, 0.0018268028808922272
11, 0, 0.9982857087092784, 0.00024944478804979635, 0.7295634555513153, 0.04141287987781643, 0.001402838810263537
12, 0, 0.998657261040309, 0.00017478491416408537, 0.656768207139334, 0.03664955660734634, 0.000939623673177177
13, 0, 0.9983958039415013, 0.00013418672293326537, 0.7023369765260435, 0.04006045352048744, 0.000704656495209368
14, 0, 0.9990823637268462, 0.00010257876952921674, 0.7051423062817335, 0.030295987916747893, 0.0005219448068305025
