step, iter, fidelity, l2_error_abs, l2_error_rel, l2_error_normalized, linsys_residual
0, 0, 0.9989969652141576, 0.19461775371264836, 0.08581671380003598, 0.031674697027102, 2.0151907132815228
1, 0, 0.9994219728945831, 0.09877979378922781, 0.22497129923148068, 0.02404393184152796, 0.6074727325866396
2, 0, 0.9985635950907977, 0.028707234518380434, 0.23980470879083793, 0.03790674207526029, 0.15129595865778173
3, 0, 0.9976294231525147, 0.024351654157882076, 0.6507003539061212, 0.048703012471774755, 0.11213400154363112
4, 0, 0.9954201325625227, 0.018612942567071456, 0.730937676702399, 0.06771353835342626, 0.08473388292874992
5, 0, 0.9970121350657684, 0.013501310726116563, 0.7044113474574454, 0.05468180784224914, 0.06005909318838381
6, 0, 0.9963300487426104, 0.010477587013114536, 0.7505638804403543, 0.060607958105897836, 0.04537896486163783
7, 0, 0.9959110097755112, 0.008781051551298871, 0.8174776300054151, 0.06397795520772323, 0.03940837892196802
8, 0, 0.995124760611355, 0.007182089917516741, 0.8051382114780927, 0.06986555594148179, 0.03316437759254204
9, 0, 0.9957403737190399, 0.006554553444894684, 0.8975201874790799, 0.06530062841824766, 0.030932711412850252
10, 0, 0.9972573163808232, 0.0053725096741113545, 0.8130934877149147, 0.05238861308412073, 0.025858652695126126
11, 0, 0.9970512646648159, 0.00514795947086178, 0.9433335188221248, 0.05432230026456466, 0.024933899812512685
12, 0, 0.996643730079361, 0.004916274341815269, 0.9510000001080842, 0.05795766380182134, 0.02386098387515501
13, 0, 0.9960371662723413, 0.004676753121726737, 0.947733815507592, 0.0629822795619457, 0.022655021975044334
14, 0, 0.995669830806695, 0.004415590061841788, 0.9403591731962317, 0.06583970656968231, 0.021346235950158807
