step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 95.97789014324577, 9, 22.405614510122508, 2.3074021727489433, 1.0, 0.1029832130561069, 5, 5, 19, 14, 638237, 649089, 14, 65.44798588752747, 7.445090293884277, 41.854406118392944
1, 0, 15, 16, 32, 66.16035165325788, 11, 24.832844495692097, 4.66472973612366, 1.0000000000000022, 0.18784516356686085, 5, 5, 19, 14, 638237, 649089, 14, 65.48446774482727, 7.448717832565308, 41.896275758743286
2, 0, 15, 16, 32, 68.58294538385674, 11, 24.327434755460683, 4.224954030396628, 0.9999999999999982, 0.1736703467860806, 5, 5, 19, 14, 638237, 649089, 14, 65.44199681282043, 7.501112461090088, 41.82420039176941
3, 0, 15, 16, 32, 68.31673501640398, 11, 24.28491214712682, 4.202494241453759, 0.9999999999999998, 0.1730495962263944, 5, 5, 19, 14, 638237, 649089, 14, 65.25546288490295, 7.514799118041992, 41.763087034225464
4, 0, 15, 16, 32, 68.08494903876432, 11, 24.251249669674344, 4.187446301688938, 0.9999999999999993, 0.17266929988046167, 5, 5, 19, 14, 638237, 649089, 14, 65.40473341941833, 7.429100751876831, 41.75161051750183
5, 0, 15, 16, 32, 67.9952155943259, 11, 24.237164021059392, 4.183524075947611, 0.9999999999999984, 0.17260782129099705, 5, 5, 19, 14, 638237, 649089, 14, 65.29027485847473, 7.405473470687866, 41.97694778442383
6, 0, 15, 16, 32, 67.97402324895589, 11, 24.232533952283806, 4.181191290238103, 1.0000000000000042, 0.17254453448703544, 5, 5, 19, 14, 638237, 649089, 14, 65.42366337776184, 7.46740460395813, 41.52343559265137
7, 0, 15, 16, 32, 67.78574060556134, 11, 24.18835664033549, 4.159684646116237, 0.9999999999999962, 0.17197053557494435, 5, 5, 19, 14, 638237, 649089, 14, 65.26372838020325, 7.4131364822387695, 41.82640862464905
8, 0, 15, 16, 32, 67.76226610987374, 11, 24.18293514018403, 4.1569389523647935, 1.0000000000000002, 0.17189555065453244, 5, 5, 19, 14, 638237, 649089, 14, 65.51011514663696, 7.4536614418029785, 41.829360485076904
9, 0, 15, 16, 32, 67.7306386736143, 11, 24.17539933088489, 4.153193975327964, 1.0000000000000029, 0.17179422430561875, 5, 5, 19, 14, 638237, 649089, 14, 65.36326217651367, 7.429290294647217, 41.59458136558533
10, 0, 15, 16, 32, 67.72896300624348, 11, 24.17485874440058, 4.152914526264592, 0.9999999999999969, 0.17178650639381682, 5, 5, 19, 14, 638237, 649089, 14, 65.47992396354675, 7.478426933288574, 41.64400839805603
11, 0, 15, 16, 32, 67.69664848383512, 11, 24.16449181596398, 4.147980077136801, 0.999999999999998, 0.171656002895806, 5, 5, 19, 14, 638237, 649089, 14, 65.31646466255188, 7.48262619972229, 41.66282391548157
12, 0, 15, 16, 32, 67.69520403866444, 11, 24.164144003159297, 4.147833686730714, 0.999999999999998, 0.1716524155040794, 5, 5, 19, 14, 638237, 649089, 14, 65.44727230072021, 7.417958974838257, 41.777257204055786
13, 0, 15, 16, 32, 67.64066940224194, 11, 24.144945101234924, 4.139003941674693, 1.0000000000000018, 0.17142320781102133, 5, 5, 19, 14, 638237, 649089, 14, 65.33295130729675, 7.453561067581177, 41.62835717201233
14, 0, 15, 16, 32, 67.63338910746053, 11, 24.142444838835058, 4.137794693102486, 1.0000000000000033, 0.17139087282686974, 5, 5, 19, 14, 638237, 649089, 14, 65.58019304275513, 7.4246826171875, 41.93700623512268
