step, iter, fidelity, l2_error_abs, l2_error_rel, l2_error_normalized, linsys_residual
0, 0, 0.9986910750963222, 0.1426838979773823, 0.05275632094598401, 0.03618499005565896, 1.8976084782721057
1, 0, 0.9978955938992126, 0.012355948826533557, 0.048426541984067616, 0.04588588452354278, 0.3394680073435786
2, 0, 0.9987032111457341, 0.008055194692363937, 0.13174750289809548, 0.036016795282410446, 0.06793450683199403
3, 0, 0.9992797591757685, 0.00031430032861975873, 0.02712170011431487, 0.02683971977622111, 0.009358996993157592
4, 0, 0.9861614548759846, 0.0002672257393372147, 0.7811455773496372, 0.11784207915341499, 0.0072474807415341905
5, 0, 0.9791809067475641, 0.00025337744652993385, 0.9481220100029316, 0.14466718622635014, 0.0068608822463213015
6, 0, 0.981147950996967, 0.00020720360771912916, 0.817758370949717, 0.13762901744227865, 0.005607194138821415
7, 0, 0.9684963410697959, 0.00011889702367650658, 0.5738013763593129, 0.17820147614387585, 0.003213587056249014
8, 0, 0.9651901066923634, 0.00010416642640297641, 0.8760653615134986, 0.1873985474097373, 0.0028010135584015257
9, 0, 0.9765987100846018, 8.697150145456852e-05, 0.8349228674109637, 0.15342692300743457, 0.0022987996111005883
10, 0, 0.9780958292400551, 6.934436382423438e-05, 0.7973152007306276, 0.1484097398424165, 0.001832439939757388
11, 0, 0.9760448286959815, 6.366053788700502e-05, 0.9180236346159747, 0.15524296556946107, 0.0016778769144452032
12, 0, 0.965622484114282, 5.807945548232233e-05, 0.9123277344921665, 0.18622072808076554, 0.0015281310140142657
13, 0, 0.9719437154644156, 5.050169708530985e-05, 0.8695247810289566, 0.1680948638902397, 0.001332840973268647
14, 0, 0.9676285510136157, 4.924536252098626e-05, 0.9751185021721486, 0.18065922262342182, 0.0012973383204910754
