step, iter, fidelity, l2_error_abs, l2_error_rel, l2_error_normalized, linsys_residual
0, 0, 0.9987561911197413, 0.2521295008305555, 0.09322302694503076, 0.035273160988338194, 2.3264012860372505
1, 0, 0.982955906159909, 0.01648596233755532, 0.13292778955226464, 0.13083327066382378, 0.28737044575614007
2, 0, 0.9938155744015114, 0.01517462221544237, 0.629765947850384, 0.07870207786535065, 0.1791148424451036
3, 0, 0.9939913795136055, 0.009000366450848833, 0.5846933722655674, 0.07757366553952197, 0.10146332606499048
4, 0, 0.9974616543467041, 0.005914836708449978, 0.6505137921713042, 0.05039800095828268, 0.06486952244147917
5, 0, 0.9968236139945614, 0.004222981959558161, 0.7099097909901358, 0.05638184438638143, 0.045758949272588646
6, 0, 0.9965115730369958, 0.003320574917457412, 0.784204492419028, 0.05908870079509939, 0.03667543939623534
7, 0, 0.9938723631566106, 0.00260071979915126, 0.7822680003505854, 0.07833934322759893, 0.030118294313591722
8, 0, 0.9964225872484548, 0.002023822729347528, 0.7775320786678879, 0.059838264996381146, 0.023267260218232024
9, 0, 0.9954014204441012, 0.0014373362382708458, 0.7096545929713851, 0.06785188634189997, 0.016532145552558553
10, 0, 0.9966746933811917, 0.001226588479394014, 0.852634022435139, 0.05768947599569642, 0.014102969813778211
11, 0, 0.9960363626810909, 0.0009243943522394154, 0.7534787184463999, 0.06298867141978344, 0.010764585076245553
12, 0, 0.998708294130504, 0.0006380721031019711, 0.6900451617666773, 0.03594611613405927, 0.00747995474085034
13, 0, 0.9961241129263839, 0.00045933378441903393, 0.7196155087749944, 0.06228683644726739, 0.005415458122340322
14, 0, 0.9933190955088964, 0.0003070820970811078, 0.6684006744351079, 0.08180525987652819, 0.0037576068522492297
