step, iter, fidelity, l2_error_abs, l2_error_rel, l2_error_normalized, linsys_residual
0, 0, 0.9976913267816396, 0.6172151757147841, 0.22821076774831783, 0.048062534803485796, 2.9290702953876635
1, 0, 0.9983327030138825, 0.026986611442342653, 0.060253374563398084, 0.04084106433349047, 0.6163006717875916
2, 0, 0.9854427602499315, 0.004477540249661675, 0.144534061565827, 0.12087434471729315, 0.0959411263122732
3, 0, 0.9797622108214927, 0.0026282145921606172, 0.5777085142787235, 0.14262268611273765, 0.05361619888534785
4, 0, 0.9883065583031302, 0.0010426207839025424, 0.3965482017753846, 0.10829509305340665, 0.019280875097223676
5, 0, 0.9899948628818871, 0.0005928957830947999, 0.5683222707448031, 0.10015132945393762, 0.010747114609479417
6, 0, 0.9950576797895875, 0.00022923952997099326, 0.386558101066956, 0.07034516315922662, 0.003966524088753643
7, 0, 0.9892748194097387, 0.00011698120450015426, 0.5101840372229268, 0.10370194414941385, 0.0020819280097096977
8, 0, 0.9913491284286217, 3.313238388462119e-05, 0.2831997464690377, 0.09311102154118452, 0.0005059155138263829
9, 0, 0.9957587428290752, 2.1882967335209945e-05, 0.6603672010345359, 0.06515952576545453, 0.0003234192602622885
10, 0, 0.9926863023210173, 1.1753419028241795e-05, 0.537096266749891, 0.08559859430747697, 0.00016967195448344224
11, 0, 0.9932573532425442, 7.881796733314863e-06, 0.6705862032609601, 0.0821830338730093, 0.00011154207056964739
12, 0, 0.996210484024984, 4.9064052067858405e-06, 0.6224951007423928, 0.06158825293539433, 6.881739037444612e-05
13, 0, 0.9928505183266189, 4.138651486901583e-06, 0.8435165453985143, 0.08463041014096612, 5.829272748692102e-05
14, 0, 0.9948896782226997, 2.6687989177345063e-06, 0.6448468562068526, 0.07153228191167903, 3.663426452419696e-05
