step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 95.97789014324577, 9, 22.405614510122508, 2.3074021727489433, 1.0, 0.1029832130561069, 5, 5, 19, 14, 638237, 649089, 14, 64.72152018547058, 7.518049478530884, 41.47405958175659
1, 0, 15, 16, 32, 67.3610918420178, 12, 23.94814303661816, 4.268370290560283, 1.0000000000000044, 0.17823387324995102, 5, 5, 19, 14, 638237, 649089, 14, 65.03215432167053, 7.501126289367676, 41.182270526885986
2, 0, 15, 16, 32, 67.26521615573161, 11, 24.07092138765542, 4.115556801877223, 0.9999999999999971, 0.170976288593085, 5, 5, 19, 14, 638237, 649089, 14, 65.18300652503967, 7.432789087295532, 41.47998905181885
3, 0, 15, 16, 32, 67.24850412341796, 11, 24.100390064289204, 4.129808567374478, 1.000000000000001, 0.17135857786359396, 5, 5, 19, 14, 638237, 649089, 14, 65.07267332077026, 7.501429557800293, 41.43955612182617
4, 0, 15, 16, 32, 67.29277123933701, 11, 24.087934666360045, 4.121559654466193, 0.9999999999999996, 0.17110473403193585, 5, 5, 19, 14, 638237, 649089, 14, 65.20210480690002, 7.431419610977173, 41.570000648498535
5, 0, 15, 16, 32, 67.35472469533927, 11, 24.07676078717467, 4.1134687844624205, 1.000000000000005, 0.17084809791579636, 5, 5, 19, 14, 638237, 649089, 14, 64.90383815765381, 7.423396825790405, 41.19790029525757
6, 0, 15, 16, 32, 67.36748575593712, 11, 24.073452299614093, 4.111051423406817, 1.0000000000000009, 0.1707711620353142, 5, 5, 19, 14, 638237, 649089, 14, 65.25489544868469, 7.403919219970703, 41.2918062210083
7, 0, 15, 16, 32, 67.37764370665236, 11, 24.070517368293775, 4.1091211502801235, 0.9999999999999991, 0.17071179183264154, 5, 5, 19, 14, 638237, 649089, 14, 64.963374376297, 7.398747205734253, 41.30871033668518
8, 0, 15, 16, 32, 67.38129634672688, 11, 24.06974514151356, 4.108446025398994, 0.9999999999999984, 0.1706892200662756, 5, 5, 19, 14, 638237, 649089, 14, 65.06976747512817, 7.438186407089233, 41.302083015441895
9, 0, 15, 16, 32, 67.3841425116169, 11, 24.069108460863706, 4.107970296340698, 1.0, 0.17067397004007365, 5, 5, 19, 14, 638237, 649089, 14, 64.99649405479431, 7.38803768157959, 41.39451551437378
10, 0, 15, 16, 32, 67.3844789036377, 11, 24.069038000118283, 4.107918627294582, 1.0000000000000007, 0.17067232297669635, 5, 5, 19, 14, 638237, 649089, 14, 65.13048195838928, 7.417541265487671, 41.537588357925415
11, 0, 15, 16, 32, 67.38476528636211, 11, 24.068972047711384, 4.107872539038204, 1.0000000000000009, 0.17067087580206075, 5, 5, 19, 14, 638237, 649089, 14, 65.00814414024353, 7.422936201095581, 41.302443742752075
12, 0, 15, 16, 32, 67.38485228508797, 11, 24.068944158312316, 4.107851503091722, 0.9999999999999958, 0.17067019957637242, 5, 5, 19, 14, 638237, 649089, 14, 65.14725089073181, 7.425288677215576, 41.34336972236633
13, 0, 15, 16, 32, 67.38493765813996, 11, 24.06892331003605, 4.107835362360192, 0.9999999999999991, 0.17066967680466819, 5, 5, 19, 14, 638237, 649089, 14, 65.06930661201477, 7.362686634063721, 41.28018403053284
14, 0, 15, 16, 32, 67.3849601413297, 11, 24.068918373977283, 4.107831467723212, 0.9999999999999962, 0.17066954999375866, 5, 5, 19, 14, 638237, 649089, 14, 65.13321900367737, 7.4369494915008545, 41.186859130859375
