step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 7.148988775685402, 9, 34.90561450887252, 14.762157543136393, 1.000000000000001, 0.4229164204911519, 5, 5, 18, 13, 317610, 323055, 13, 32.69780898094177, 3.662316083908081, 18.26570463180542
1, 0, 15, 16, 32, 7.012034403358866, 11, 34.796441485527474, 14.722221930829285, 1.0000000000000029, 0.42309561846870253, 5, 5, 18, 13, 317610, 323055, 13, 32.76829814910889, 3.6596415042877197, 18.20407223701477
2, 0, 15, 16, 32, 7.013373867102065, 11, 34.95229338956104, 14.40421549779868, 1.000000000000002, 0.41211074012387083, 5, 5, 18, 13, 317610, 323055, 13, 32.662002086639404, 3.5955922603607178, 18.18212342262268
3, 0, 15, 16, 32, 7.073531238234639, 11, 35.18617883144747, 14.225361245403285, 1.0000000000000004, 0.40428832336546566, 5, 5, 18, 13, 317610, 323055, 13, 32.75000596046448, 3.569822311401367, 18.149652242660522
4, 0, 15, 16, 32, 7.144721798641935, 11, 35.4786304937352, 14.255853046741175, 1.000000000000003, 0.4018152011041819, 5, 5, 18, 13, 317489, 322928, 13, 32.74833941459656, 3.5820200443267822, 18.145315408706665
5, 0, 15, 16, 32, 7.1957900643251795, 11, 35.75675754058256, 14.445622767096037, 0.9999999999999998, 0.4039969997475506, 5, 5, 18, 13, 317610, 323055, 13, 32.67374587059021, 3.5862185955047607, 18.104154348373413
6, 0, 15, 16, 32, 7.222048762511942, 11, 36.00698391866956, 14.803119974153427, 0.9999999999999994, 0.41111802109251555, 5, 5, 18, 13, 317610, 323055, 13, 32.84169816970825, 3.6167380809783936, 18.22649908065796
7, 0, 15, 16, 32, 7.234854826628906, 11, 36.24408009453702, 15.521156609430882, 0.9999999999999988, 0.4282397723696217, 5, 5, 18, 13, 317489, 322928, 13, 32.65376543998718, 3.5825695991516113, 18.167669773101807
8, 0, 15, 16, 32, 7.233065012889346, 11, 36.437681683121035, 15.745950249581295, 0.9999999999999986, 0.4321337012193959, 5, 5, 18, 13, 317610, 323055, 13, 32.65515685081482, 3.5780911445617676, 18.175199508666992
9, 0, 15, 16, 32, 7.228272709490931, 11, 36.601285694592654, 15.955827357463205, 1.0000000000000027, 0.435936253458452, 5, 5, 18, 13, 317489, 322928, 13, 32.87730622291565, 3.582204580307007, 18.163444995880127
10, 0, 15, 16, 32, 7.222828730366194, 11, 36.73433754779074, 16.154475180293463, 1.0000000000000007, 0.43976497900028144, 5, 5, 18, 13, 317489, 322928, 13, 32.8143789768219, 3.630669116973877, 18.206618309020996
11, 0, 15, 16, 32, 7.2147889265133465, 11, 36.84633711095117, 16.33859966132715, 1.0000000000000016, 0.4434253427180182, 5, 5, 18, 13, 317610, 323055, 13, 32.75544357299805, 3.6367597579956055, 18.203263759613037
