step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 7.148988775685402, 9, 34.90561450887252, 14.762157543136393, 1.000000000000001, 0.4229164204911519, 5, 5, 18, 13, 317610, 323055, 13, 32.62181639671326, 3.644275665283203, 18.028048992156982
1, 0, 15, 16, 32, 7.031117369015524, 11, 34.87604776072313, 14.761964179339763, 1.000000000000003, 0.4232694105885609, 5, 5, 18, 13, 317489, 322928, 13, 32.71540880203247, 3.6342320442199707, 17.984298944473267
2, 0, 15, 16, 32, 7.041799259236386, 11, 35.00670875656781, 14.432589142951116, 1.000000000000001, 0.4122806643524674, 5, 5, 18, 13, 317489, 322928, 13, 32.60475182533264, 3.610318422317505, 17.913010120391846
3, 0, 15, 16, 32, 7.086653149576966, 11, 35.25328784684412, 14.323646676151258, 1.0000000000000029, 0.4063066894180064, 5, 5, 18, 13, 317610, 323055, 13, 32.591172218322754, 3.565852165222168, 17.85921335220337
4, 0, 15, 16, 32, 7.148792475837916, 11, 35.52770894272414, 14.35659456623957, 1.0000000000000002, 0.40409570426802693, 5, 5, 18, 13, 317610, 323055, 13, 32.65617036819458, 3.5653066635131836, 17.962251663208008
5, 0, 15, 16, 32, 7.201887527052019, 11, 35.80648905852886, 14.551734356541308, 1.0000000000000002, 0.40639936333202714, 5, 5, 18, 13, 317489, 322928, 13, 32.731823444366455, 3.553279399871826, 17.942547082901
6, 0, 15, 16, 32, 7.22169918322826, 11, 36.054704560210226, 14.993396099765633, 1.0000000000000002, 0.41585130935484654, 5, 5, 18, 13, 317489, 322928, 13, 32.563437938690186, 3.530351161956787, 17.952505111694336
7, 0, 15, 16, 32, 7.2320711591463125, 11, 36.27000078755971, 15.55797808272019, 0.9999999999999997, 0.42894893148324414, 5, 5, 18, 13, 317610, 323055, 13, 32.63955616950989, 3.567596673965454, 17.893792390823364
8, 0, 15, 16, 32, 7.232717433300171, 11, 36.46392792046546, 15.778371437996691, 1.000000000000002, 0.4327117877265503, 5, 5, 18, 13, 317610, 323055, 13, 32.587663650512695, 3.533912420272827, 17.991788387298584
9, 0, 15, 16, 32, 7.22816746287829, 11, 36.61746985412692, 15.985241806951642, 0.9999999999999993, 0.4365468687659755, 5, 5, 18, 13, 317489, 322928, 13, 32.64202404022217, 3.5268712043762207, 17.943143844604492
