step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 30.355785711154827, 9, 24.905614508872524, 4.779491907160554, 0.9999999999999974, 0.19190419515478663, 5, 5, 18, 13, 317229, 322801, 13, 32.395909547805786, 3.6238512992858887, 17.751464128494263
1, 0, 15, 16, 32, 27.98115655318194, 11, 25.31266611706015, 5.25341969048547, 0.9999999999999946, 0.2075411442710397, 5, 5, 18, 13, 317858, 323309, 13, 32.38672733306885, 3.581338405609131, 17.83726954460144
2, 0, 15, 16, 32, 28.60975832422271, 11, 25.97165882681147, 5.640511623815761, 0.9999999999999949, 0.21717949020618155, 5, 5, 18, 13, 317858, 323309, 13, 32.49277591705322, 3.5567421913146973, 17.773134231567383
3, 0, 15, 16, 32, 27.731456173134426, 11, 26.386180368024796, 6.153273664177631, 1.0000000000000024, 0.23320062162670138, 5, 5, 18, 13, 317858, 323309, 13, 32.383837938308716, 3.543670177459717, 17.804972648620605
4, 0, 15, 16, 32, 27.395728004113337, 11, 26.603947499320935, 6.4419249593522245, 0.9999999999999996, 0.24214169568319271, 5, 5, 18, 13, 317858, 323309, 13, 32.421438694000244, 3.5481491088867188, 17.847212314605713
5, 0, 15, 16, 32, 27.227050962749, 11, 26.686569791289028, 6.594278636991597, 1.0000000000000024, 0.24710102079676383, 5, 5, 18, 13, 317858, 323309, 13, 32.483449935913086, 3.5413007736206055, 17.768038511276245
6, 0, 15, 16, 32, 27.170811118809, 11, 26.714935941943825, 6.649390723210252, 1.0000000000000004, 0.2489016158474247, 5, 5, 18, 13, 317858, 323309, 13, 32.377724170684814, 3.5723416805267334, 17.813401460647583
7, 0, 15, 16, 32, 27.127893776770613, 11, 26.715676881919002, 6.669347083763096, 0.9999999999999964, 0.24964170338041758, 5, 5, 18, 13, 317858, 323309, 13, 32.4886589050293, 3.5839884281158447, 17.790366888046265
8, 0, 15, 16, 32, 27.11230440776861, 11, 26.714906081273963, 6.674132584951204, 1.0000000000000024, 0.24982803849830748, 5, 5, 18, 13, 317858, 323309, 13, 32.4851348400116, 3.6035914421081543, 17.79915976524353
9, 0, 15, 16, 32, 27.105682614390208, 11, 26.714150742286794, 6.6758548592279325, 1.0000000000000029, 0.24989957283801895, 5, 5, 18, 13, 317858, 323309, 13, 32.38814949989319, 3.5686333179473877, 17.79577946662903
10, 0, 15, 16, 32, 27.10083186514777, 11, 26.713455445282605, 6.676823589147192, 1.0000000000000036, 0.24994234096084608, 5, 5, 18, 13, 317858, 323309, 13, 32.48764395713806, 3.5828118324279785, 17.673522472381592
11, 0, 15, 16, 32, 27.097198334918115, 11, 26.712719732496804, 6.677274348528643, 0.9999999999999971, 0.2499660991241402, 5, 5, 18, 13, 317858, 323309, 13, 32.386435747146606, 3.5809803009033203, 17.897648811340332
12, 0, 15, 16, 32, 27.09475833964511, 11, 26.71206644595449, 6.677420721434693, 0.999999999999998, 0.24997769210198972, 5, 5, 18, 13, 317858, 323309, 13, 32.47388982772827, 3.5822701454162598, 17.828362941741943
13, 0, 15, 16, 32, 27.09327875091205, 11, 26.711635560790597, 6.677455639554249, 1.0000000000000018, 0.2499830317150598, 5, 5, 18, 13, 317858, 323309, 13, 32.51324772834778, 3.5728931427001953, 17.832961320877075
14, 0, 15, 16, 32, 27.092726859753416, 11, 26.711441140673454, 6.6774338750874875, 0.9999999999999984, 0.24998403642549233, 5, 5, 18, 13, 317858, 323309, 13, 32.4569833278656, 3.5508995056152344, 17.817993879318237
15, 0, 15, 16, 32, 27.09226010321127, 11, 26.7112655920593, 6.677397535703402, 0.9999999999999976, 0.24998431888934672, 5, 5, 18, 13, 317858, 323309, 13, 32.443094968795776, 3.5637474060058594, 17.850258588790894
16, 0, 15, 16, 32, 27.091819937911456, 11, 26.71111063601753, 6.677374608009649, 1.0000000000000038, 0.24998491073620158, 5, 5, 18, 13, 317858, 323309, 13, 32.55011343955994, 3.570917844772339, 17.871450662612915
17, 0, 15, 16, 32, 27.09108103114684, 11, 26.7108173733323, 6.677301087394529, 1.000000000000001, 0.24998490289784472, 5, 5, 18, 13, 317858, 323309, 13, 32.446720361709595, 3.5506949424743652, 17.783128261566162
18, 0, 15, 16, 32, 27.08954187425882, 11, 26.7102229019588, 6.677136918151231, 0.9999999999999982, 0.24998432033532722, 5, 5, 18, 13, 317858, 323309, 13, 32.47499346733093, 3.5854926109313965, 17.820640802383423
19, 0, 15, 16, 32, 27.087862103501447, 11, 26.709411634750197, 6.676743140134299, 1.0000000000000042, 0.24997717027384891, 5, 5, 18, 13, 317858, 323309, 13, 32.46693801879883, 3.5619986057281494, 17.759118795394897
20, 0, 15, 16, 32, 27.08734139507917, 11, 26.709028810172367, 6.676423966724524, 1.0, 0.2499688032154031, 5, 5, 18, 13, 317858, 323309, 13, 32.38447833061218, 3.798319101333618, 17.824657440185547
