step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 30.355785711154827, 9, 24.905614508872524, 4.779491907160554, 0.9999999999999974, 0.19190419515478663, 5, 5, 18, 13, 317229, 322801, 13, 32.30268859863281, 3.616420030593872, 17.90338683128357
1, 0, 15, 16, 32, 29.37614049785127, 13, 25.41033359507266, 5.161924413046728, 0.9999999999999991, 0.2031427251331979, 5, 5, 18, 13, 317858, 323309, 13, 32.45907640457153, 3.579972982406616, 17.946255445480347
2, 0, 15, 16, 32, 28.607192994383492, 11, 26.037900566000797, 5.673225218754737, 1.0000000000000029, 0.2178833583135577, 5, 5, 18, 13, 317858, 323309, 13, 32.62740731239319, 3.6095879077911377, 17.821221351623535
3, 0, 15, 16, 32, 27.814627010001928, 11, 26.413774612630405, 6.156405608427699, 0.9999999999999982, 0.23307557131512183, 5, 5, 18, 13, 317858, 323309, 13, 32.47469735145569, 3.5607311725616455, 17.764121532440186
4, 0, 15, 16, 32, 27.431044116068268, 11, 26.614250195464816, 6.450547324618953, 1.0000000000000036, 0.2423719352318306, 5, 5, 18, 13, 317858, 323309, 13, 32.64226245880127, 3.588002920150757, 17.774590253829956
5, 0, 15, 16, 32, 27.248493112358307, 11, 26.69289442865415, 6.594206281388838, 1.0000000000000049, 0.24703976179930917, 5, 5, 18, 13, 317858, 323309, 13, 32.67622375488281, 3.5839133262634277, 17.782864332199097
6, 0, 15, 16, 32, 27.166306074215008, 11, 26.712419881669195, 6.646086993193096, 0.9999999999999996, 0.2488013823769598, 5, 5, 18, 13, 317858, 323309, 13, 32.512744188308716, 3.7408347129821777, 17.761255264282227
7, 0, 15, 16, 32, 27.133362082229016, 11, 26.715128198843964, 6.6656069097542385, 1.000000000000003, 0.24950682849587358, 5, 5, 18, 13, 317858, 323309, 13, 32.628535747528076, 3.5928399562835693, 17.800792694091797
8, 0, 15, 16, 32, 27.11937991429594, 11, 26.715159852998045, 6.671699954838174, 0.9999999999999964, 0.2497346072997366, 5, 5, 18, 13, 317858, 323309, 13, 32.6305627822876, 3.562873125076294, 17.886866569519043
9, 0, 15, 16, 32, 27.11113079972769, 11, 26.714649914352428, 6.674190373736663, 1.000000000000001, 0.24983259728778823, 5, 5, 18, 13, 317858, 323309, 13, 32.50053095817566, 3.5818653106689453, 17.811188459396362
10, 0, 15, 16, 32, 27.105476455960215, 11, 26.713931709151087, 6.675579215628046, 1.0000000000000016, 0.24989130347073837, 5, 5, 18, 13, 317858, 323309, 13, 32.61158537864685, 3.620366096496582, 17.6859610080719
11, 0, 15, 16, 32, 27.100921450821097, 11, 26.713162351634093, 6.676420843629241, 1.0000000000000016, 0.2499300066291417, 5, 5, 18, 13, 317858, 323309, 13, 32.52223062515259, 3.5799145698547363, 17.811078786849976
12, 0, 15, 16, 32, 27.097772714902057, 11, 26.71250635260134, 6.676892856865412, 1.0000000000000027, 0.24995381446919848, 5, 5, 18, 13, 317858, 323309, 13, 32.589069843292236, 3.5803768634796143, 17.776273488998413
13, 0, 15, 16, 32, 27.09555137754603, 11, 26.711975488518647, 6.677098415472738, 1.0000000000000042, 0.2499664773330865, 5, 5, 18, 13, 317858, 323309, 13, 32.64355134963989, 3.5861024856567383, 17.889997720718384
14, 0, 15, 16, 32, 27.09384908987382, 11, 26.71152340763269, 6.677189604845466, 1.0000000000000004, 0.2499741217656455, 5, 5, 18, 13, 317858, 323309, 13, 32.51156735420227, 3.5812172889709473, 17.808420658111572
15, 0, 15, 16, 32, 27.09308696071428, 11, 26.711290904569466, 6.677187223196319, 1.000000000000003, 0.24997620845250967, 5, 5, 18, 13, 317858, 323309, 13, 32.51074981689453, 3.6007211208343506, 17.85506772994995
16, 0, 15, 16, 32, 27.093001948053836, 11, 26.711264259580027, 6.6771862288398465, 1.000000000000004, 0.24997642058238156, 5, 5, 18, 13, 317858, 323309, 13, 32.62903380393982, 3.5621817111968994, 17.809678554534912
17, 0, 15, 16, 32, 27.092956210085916, 11, 26.71125042950018, 6.677185631724158, 0.9999999999999984, 0.249976527656295, 5, 5, 18, 13, 317858, 323309, 13, 32.51248574256897, 3.585366725921631, 17.81726098060608
18, 0, 15, 16, 32, 27.09285322216451, 11, 26.711220412208224, 6.67718411763805, 0.9999999999999978, 0.24997675188911578, 5, 5, 18, 13, 317858, 323309, 13, 32.560620069503784, 3.5867807865142822, 17.86291813850403
19, 0, 15, 16, 32, 27.092767284274633, 11, 26.711191990937618, 6.677180743329185, 0.999999999999998, 0.24997689154398617, 5, 5, 18, 13, 317858, 323309, 13, 32.61765265464783, 3.571152925491333, 17.8153395652771
20, 0, 15, 16, 32, 27.092731987140485, 11, 26.71118095061707, 6.677180327097919, 0.999999999999998, 0.2499769792822921, 5, 5, 18, 13, 317858, 323309, 13, 32.46451497077942, 3.5859975814819336, 17.802000284194946
21, 0, 15, 16, 32, 27.092590704181607, 11, 26.711133717948147, 6.677174001957901, 1.0000000000000016, 0.24997718451281153, 5, 5, 18, 13, 317858, 323309, 13, 32.60335087776184, 3.5872621536254883, 17.935492515563965
22, 0, 15, 16, 32, 27.09247374064199, 11, 26.711095721210338, 6.677169279461877, 0.9999999999999958, 0.24997736330822928, 5, 5, 18, 13, 317858, 323309, 13, 32.68920111656189, 3.7256808280944824, 17.836896657943726
23, 0, 15, 16, 32, 27.09215617199524, 11, 26.710992113517605, 6.677157226617604, 0.9999999999999991, 0.24997788169906707, 5, 5, 18, 13, 317858, 323309, 13, 32.49392247200012, 3.5728600025177, 17.77846646308899
24, 0, 15, 16, 32, 27.091546177735143, 11, 26.710785842826095, 6.677130973415003, 1.000000000000003, 0.24997882925291393, 5, 5, 18, 13, 317858, 323309, 13, 32.66542720794678, 3.619795083999634, 17.77946949005127
25, 0, 15, 16, 32, 27.0906352375516, 11, 26.710464555184064, 6.677055292585899, 0.9999999999999984, 0.24997900275343524, 5, 5, 18, 13, 317858, 323309, 13, 32.50233578681946, 3.5861544609069824, 17.86092209815979
26, 0, 15, 16, 32, 27.08856089235471, 11, 26.709682184266732, 6.676838866792456, 0.999999999999998, 0.24997822215666152, 5, 5, 18, 13, 317858, 323309, 13, 32.5756618976593, 3.5596907138824463, 17.968942165374756
27, 0, 15, 16, 32, 27.0877660715694, 11, 26.709215430929994, 6.676531591085397, 0.9999999999999982, 0.24997108613507976, 5, 5, 18, 13, 317858, 323309, 13, 32.62865948677063, 3.5286471843719482, 17.910541772842407
28, 0, 15, 16, 32, 27.087294206173745, 11, 26.70892389218001, 6.676314112981465, 0.9999999999999998, 0.2499656721451133, 5, 5, 18, 13, 317858, 323309, 13, 32.619322061538696, 3.5940866470336914, 17.810899019241333
29, 0, 15, 16, 32, 27.087156785615527, 11, 26.708752808151523, 6.676141220826089, 0.9999999999999993, 0.2499608000710739, 5, 5, 18, 13, 317858, 323309, 13, 32.52384686470032, 3.558051109313965, 17.863836765289307
30, 0, 15, 16, 32, 27.08712796660593, 11, 26.708682732163815, 6.676054890857377, 0.9999999999999996, 0.24995822361608983, 5, 5, 18, 13, 317858, 323309, 13, 32.6215386390686, 3.58170747756958, 17.81491255760193
31, 0, 15, 16, 32, 27.087117558793874, 11, 26.70864974793981, 6.676011558238981, 1.0000000000000029, 0.2499569098866158, 5, 5, 18, 13, 317858, 323309, 13, 32.54426860809326, 3.5563061237335205, 18.01884698867798
32, 0, 15, 16, 32, 27.087122683435897, 11, 26.70863369540334, 6.675987709130035, 0.9999999999999978, 0.2499561671804637, 5, 5, 18, 13, 317858, 323309, 13, 32.5668089389801, 3.5861589908599854, 17.78720474243164
33, 0, 15, 16, 32, 27.087130884175345, 11, 26.708627473807848, 6.6759766561697695, 1.0000000000000004, 0.24995581157124863, 5, 5, 18, 13, 317858, 323309, 13, 32.62552285194397, 3.55431866645813, 17.777902126312256
34, 0, 15, 16, 32, 27.087133631970286, 11, 26.708626166575684, 6.675972929409425, 1.000000000000001, 0.24995568427117468, 5, 5, 18, 13, 317858, 323309, 13, 32.47104525566101, 3.582639694213867, 17.844241857528687
35, 0, 15, 16, 32, 27.087136417739693, 11, 26.70862606238593, 6.675971842431913, 0.9999999999999976, 0.2499556445486262, 5, 5, 18, 13, 317858, 323309, 13, 32.654433488845825, 3.6031177043914795, 17.87637948989868
36, 0, 15, 16, 32, 27.087137417794832, 11, 26.70862613569524, 6.675971308662569, 1.0000000000000016, 0.24995562387764964, 5, 5, 18, 13, 317858, 323309, 13, 32.61224293708801, 3.543248176574707, 17.750319719314575
37, 0, 15, 16, 32, 27.08713805951416, 11, 26.708626372204257, 6.675971213638554, 0.9999999999999967, 0.24995561810645073, 5, 5, 18, 13, 317858, 323309, 13, 32.55531907081604, 3.566826581954956, 17.82872986793518
38, 0, 15, 16, 32, 27.0871385775819, 11, 26.708626422582743, 6.675971056040086, 1.000000000000001, 0.24995561173432007, 5, 5, 18, 13, 317858, 323309, 13, 32.566463470458984, 3.5777225494384766, 17.834839820861816
39, 0, 15, 16, 32, 27.087138531506508, 11, 26.708626447503583, 6.675970927550999, 0.9999999999999971, 0.24995560669032538, 5, 5, 18, 13, 317858, 323309, 13, 32.54696321487427, 3.5354185104370117, 17.935667753219604
40, 0, 15, 16, 32, 27.087138655174282, 11, 26.70862615228569, 6.6759712988816045, 1.0000000000000018, 0.24995562335617597, 5, 5, 18, 13, 317858, 323309, 13, 32.55633783340454, 3.597611427307129, 17.821515321731567
41, 0, 15, 16, 32, 27.087138800872495, 11, 26.708626438040366, 6.675970991906008, 1.0000000000000027, 0.24995560918840848, 5, 5, 18, 13, 317858, 323309, 13, 32.675506353378296, 3.5954666137695312, 17.937999963760376
42, 0, 15, 16, 32, 27.087138853983017, 11, 26.708626371368304, 6.675970994229436, 0.9999999999999989, 0.24995560989935706, 5, 5, 18, 13, 317858, 323309, 13, 32.53666543960571, 3.5648369789123535, 17.85266137123108
43, 0, 15, 16, 32, 27.087139046826568, 11, 26.70862636796464, 6.675971181738272, 1.0000000000000016, 0.2499556169517453, 5, 5, 18, 13, 317858, 323309, 13, 32.522743225097656, 3.601651668548584, 17.973707675933838
44, 0, 15, 16, 32, 27.08713920351864, 11, 26.708626432737276, 6.675971117081713, 0.9999999999999989, 0.2499556139247525, 5, 5, 18, 13, 317858, 323309, 13, 32.606929302215576, 3.580740451812744, 17.811834812164307
45, 0, 15, 16, 32, 27.087138820307672, 11, 26.708626328806613, 6.675971048058459, 1.0000000000000002, 0.24995561231309343, 5, 5, 18, 13, 317858, 323309, 13, 32.57738018035889, 3.6061766147613525, 17.806730270385742
46, 0, 15, 16, 32, 27.087139195211233, 11, 26.708626421762574, 6.675970892757436, 0.999999999999998, 0.24995560562851804, 5, 5, 18, 13, 317858, 323309, 13, 32.47995615005493, 3.570430040359497, 17.91715693473816
47, 0, 15, 16, 32, 27.087138817803396, 11, 26.70862644277792, 6.6759712175378585, 1.0, 0.24995561759197132, 5, 5, 18, 13, 317858, 323309, 13, 32.59796094894409, 3.5745372772216797, 17.86188316345215
48, 0, 15, 16, 32, 27.08713942752923, 11, 26.70862655609001, 6.675971086881353, 0.9999999999999982, 0.2499556116396085, 5, 5, 18, 13, 317858, 323309, 13, 32.45675253868103, 3.577831745147705, 17.89490056037903
49, 0, 15, 16, 32, 27.087139355519422, 11, 26.708626403114053, 6.675971239326603, 0.9999999999999993, 0.24995561877896602, 5, 5, 18, 13, 317858, 323309, 13, 32.60836696624756, 3.7372841835021973, 17.96107530593872
50, 0, 15, 16, 32, 27.087139199037004, 11, 26.70862640304602, 6.675971213301993, 1.0000000000000013, 0.24995561780521178, 5, 5, 18, 13, 317858, 323309, 13, 32.660703897476196, 3.538679838180542, 17.96303367614746
