step, iter, fidelity, l2_error_abs, l2_error_rel, l2_error_normalized, linsys_residual
0, 0, 0.9992031270960348, 0.06990666656370409, 0.03757984046885629, 0.028231750191151907, 0.7175144081928722
1, 0, 0.9992738255153358, 0.013966986294595446, 0.02762387776954847, 0.02695007170487524, 0.25771609510567156
2, 0, 0.9989595896875773, 0.013623551427353322, 0.09989623615278088, 0.03225958875580202, 0.10352112622123186
3, 0, 0.9984476020392604, 0.0024625402415444243, 0.055082124061768156, 0.03940813258324758, 0.013622426590385402
4, 0, 0.9984944577743128, 0.0014411288644122153, 0.1121617967114281, 0.0388086242606714, 0.008309266783999434
5, 0, 0.9987425705357466, 0.00098326567803257, 0.24840946902662922, 0.03546582855626493, 0.0046196494222268
6, 0, 0.9987446325104484, 0.0005621871153365018, 0.3597956154627868, 0.03543672845970021, 0.0029587935902148648
7, 0, 0.9982325828927596, 0.0004547773039435045, 0.6277941278621961, 0.04204995527853724, 0.0025804987777574427
8, 0, 0.9985810044791913, 0.00031660010394423944, 0.6369439659209165, 0.037676242717908655, 0.0017650676208810015
9, 0, 0.9976836101101101, 0.0002455745048221497, 0.7119480395511365, 0.048142838109774266, 0.001354430422502832
10, 0, 0.9985693818602647, 0.0001781906760006507, 0.6824244230283223, 0.03783028116609365, 0.0009439480427441335
11, 0, 0.9987816566928621, 0.0001363558975169932, 0.7078779606656465, 0.03491009343217709, 0.0007122526751201236
12, 0, 0.9987273516004991, 9.726695851580706e-05, 0.6653521256100063, 0.03567987620229948, 0.0004902478096093141
13, 0, 0.9992473167082188, 7.582145677843507e-05, 0.7089328234977947, 0.027437656206608065, 0.0003797416767758211
14, 0, 0.9990823820032201, 6.164992272060075e-05, 0.748778671702345, 0.03029568614603124, 0.00030601295781362495
15, 0, 0.9983923044282282, 5.305717997792163e-05, 0.7989648447941666, 0.04010414271413672, 0.0002587043069500519
16, 0, 0.9988132079094726, 4.999321938642462e-05, 0.8876211196696205, 0.03445496217218241, 0.0002408391190659018
17, 0, 0.998591353474143, 5.0546752660570676e-05, 0.9791778082175843, 0.03753855278884107, 0.00024173294691880748
18, 0, 0.9990211617924606, 4.87466621900205e-05, 0.9590880285372564, 0.031290219804457106, 0.00023231041658901202
19, 0, 0.9987461766928359, 4.8646274876003355e-05, 0.9867831209040137, 0.035414920161100455, 0.0002312070370637724
20, 0, 0.9981125007112703, 3.772834902678448e-05, 0.7728398363345101, 0.04345561866395876, 0.0001758220986410678
21, 0, 0.9977691459743154, 2.9167306748183183e-05, 0.7158301024727293, 0.047245101254896255, 0.00013082829962362023
22, 0, 0.9986367075152606, 1.0096774657203631e-05, 0.3104437282123084, 0.03692908668282605, 4.0655758618959524e-05
23, 0, 0.9988158690981266, 6.143135186453611e-07, 0.03441240986692816, 0.03441629920453834, 3.347490815329402e-06
24, 0, 0.9998673057311469, 1.5306353837836357e-07, 0.020799144869216867, 0.011519490919781552, 1.6286618369512902e-06
25, 0, 0.9998769757702551, 3.7430877531666286e-08, 0.012836780091670087, 0.01109179938664493, 6.066122241104211e-07
26, 0, 0.9995939702606702, 7.285980874230018e-08, 0.07240963139076081, 0.020151202494022948, 3.098002048256203e-07
27, 0, 0.9985741812259555, 1.1764569445547119e-08, 0.04294652814632183, 0.037766749475755146, 2.0130858829553785e-07
28, 0, 0.9972358200565968, 1.2747473015348239e-08, 0.16254843654236031, 0.05259365630635262, 1.1599025874265075e-07
29, 0, 0.98491787777057, 5.3364712939357126e-09, 0.1852776641861296, 0.12304235700958051, 6.88225986323992e-08
30, 0, 0.945642026987881, 7.73768387797549e-09, 0.8036363860105945, 0.23477100042911994, 6.05071262444924e-08
31, 0, 0.8636305429466181, 7.496799655482969e-09, 0.9189473168976178, 0.3759857633094518, 5.5911303577162325e-08
32, 0, 0.7810647876754738, 5.356225917856504e-09, 0.7041764734892655, 0.4821228964174724, 4.8058536099832e-08
33, 0, 0.5126488715711297, 5.030207459163987e-09, 0.8875602948458824, 0.753663889796882, 4.536726502519519e-08
34, 0, 0.6195285085064273, 3.881441863874886e-09, 0.7722579689301212, 0.6525312149022939, 3.958604244691807e-08
35, 0, 0.38395715043228973, 4.322325524469345e-09, 0.9984925951332208, 0.8721480142739712, 4.0389117138735916e-08
