step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 48.0533535216974, 9, 23.655614508872496, 3.538548266717932, 1.0000000000000013, 0.14958597948874705, 5, 5, 18, 13, 317858, 323309, 13, 32.34008455276489, 3.621053695678711, 18.007095336914062
1, 0, 15, 16, 32, 42.87744111055889, 12, 24.378693521585213, 4.340798428168119, 0.9999999999999983, 0.17805705725471832, 5, 5, 18, 13, 316352, 321912, 13, 32.33414816856384, 3.5739786624908447, 17.724425315856934
2, 0, 15, 16, 32, 40.54812570620684, 11, 25.16631447717522, 5.041235430809533, 0.9999999999999993, 0.20031679391838503, 5, 5, 18, 13, 316352, 321912, 13, 32.30958104133606, 3.597099781036377, 17.940471410751343
3, 0, 15, 16, 32, 40.16757181540173, 11, 25.347728572326098, 5.295206820750739, 1.0000000000000004, 0.20890261648658665, 5, 5, 18, 13, 316104, 321658, 13, 32.23428440093994, 3.5732369422912598, 17.772323608398438
4, 0, 15, 16, 32, 40.00755346711886, 11, 25.387574928783273, 5.365539786340253, 1.0, 0.21134510883341895, 5, 5, 18, 13, 315971, 321531, 13, 32.146897315979004, 3.5558812618255615, 17.63420844078064
5, 0, 15, 16, 32, 39.94582485239721, 11, 25.39105795232973, 5.378121084831305, 0.9999999999999962, 0.21181161867805698, 5, 5, 18, 13, 316098, 321658, 13, 32.25384712219238, 3.5642740726470947, 17.769200801849365
6, 0, 15, 16, 32, 39.93369462985229, 11, 25.390624945267216, 5.380733165463371, 1.0000000000000018, 0.21191810666583505, 5, 5, 18, 13, 316098, 321658, 13, 32.19204115867615, 3.5646724700927734, 17.804388284683228
7, 0, 15, 16, 32, 39.93025193378099, 11, 25.390255367904324, 5.381224622758537, 1.0000000000000013, 0.21194054745746577, 5, 5, 18, 13, 315844, 321404, 13, 32.25428366661072, 3.556793212890625, 17.794305086135864
8, 0, 15, 16, 32, 39.928347949315516, 11, 25.38985064687675, 5.381316040375614, 0.9999999999999978, 0.21194752640412157, 5, 5, 18, 13, 315971, 321531, 13, 32.32494115829468, 3.5463712215423584, 17.818705797195435
9, 0, 15, 16, 32, 39.92717599456921, 11, 25.38966186402011, 5.381345273754132, 0.9999999999999984, 0.21195025371251913, 5, 5, 18, 13, 316098, 321658, 13, 32.236509799957275, 3.5508031845092773, 17.790087461471558
10, 0, 15, 16, 32, 39.926500832987756, 11, 25.389520722110746, 5.381347733000798, 1.0, 0.21195152881772936, 5, 5, 18, 13, 316098, 321658, 13, 32.277793645858765, 3.5498006343841553, 17.74909257888794
11, 0, 15, 16, 32, 39.926215242308636, 11, 25.3894441489123, 5.3813341724386206, 0.9999999999999993, 0.2119516339497783, 5, 5, 18, 13, 315723, 321277, 13, 32.151305198669434, 3.6869657039642334, 17.88467502593994
12, 0, 15, 16, 32, 39.9259504263318, 11, 25.38937178404416, 5.381317735403617, 1.0, 0.21195159065674438, 5, 5, 18, 13, 316225, 321785, 13, 32.22051525115967, 3.5858232975006104, 17.835537910461426
13, 0, 15, 16, 32, 39.92576253756756, 11, 25.389322193826416, 5.381306657652774, 1.0000000000000024, 0.21195156832352446, 5, 5, 18, 13, 315844, 321404, 13, 32.192261934280396, 3.5580501556396484, 17.749762773513794
14, 0, 15, 16, 32, 39.925594846206565, 11, 25.38927334130922, 5.381290205753498, 1.0, 0.21195132816180084, 5, 5, 18, 13, 437655, 440530, 13, 110.63808488845825, 5.023905992507935, 23.92715311050415
15, 0, 15, 16, 32, 39.92544163110539, 11, 25.389222792021126, 5.38126873483029, 1.000000000000002, 0.2119509044806762, 5, 5, 18, 13, 315723, 321277, 13, 32.835509061813354, 3.5800940990448, 17.81588077545166
16, 0, 15, 16, 32, 39.925158352860564, 11, 25.38911622109398, 5.381223233027945, 1.0000000000000002, 0.2119500019680511, 5, 5, 18, 13, 316098, 321658, 13, 32.55299258232117, 3.5995912551879883, 17.69121527671814
17, 0, 15, 16, 32, 39.92461732159982, 11, 25.388908256604527, 5.381121285524482, 1.0000000000000007, 0.21194772264871511, 5, 5, 18, 13, 438284, 441038, 13, 111.08048224449158, 4.977642059326172, 23.75024652481079
18, 0, 15, 16, 32, 39.92437558090014, 11, 25.38874424838557, 5.380998144515786, 0.9999999999999998, 0.21194424158484954, 5, 5, 18, 13, 315723, 321277, 13, 32.50693345069885, 3.5652732849121094, 17.90919327735901
19, 0, 15, 16, 32, 39.92435773121776, 11, 25.388686971818554, 5.380936727053382, 1.0000000000000004, 0.21194230064068434, 5, 5, 18, 13, 315971, 321658, 13, 32.44053912162781, 3.5522544384002686, 17.713297843933105
20, 0, 15, 16, 32, 39.924362031556136, 11, 25.388661691225288, 5.380907572398058, 0.9999999999999984, 0.21194136334715777, 5, 5, 18, 13, 316098, 321658, 13, 32.270323038101196, 3.5258851051330566, 17.837985515594482
21, 0, 15, 16, 32, 39.92436692158472, 11, 25.388652987474245, 5.380895672755108, 0.9999999999999987, 0.21194096730574238, 5, 5, 18, 13, 315850, 321404, 13, 32.21921730041504, 3.5335655212402344, 17.6477313041687
22, 0, 15, 16, 32, 39.92437051963524, 11, 25.388650560470772, 5.380892391033608, 1.0000000000000024, 0.21194085830664303, 5, 5, 18, 13, 315977, 321531, 13, 32.32486295700073, 3.550657272338867, 17.685054779052734
23, 0, 15, 16, 32, 39.92437114218558, 11, 25.38864996583772, 5.380891444248145, 1.0000000000000029, 0.21194082597887262, 5, 5, 18, 13, 315723, 321277, 13, 32.20598387718201, 3.5201029777526855, 17.773380517959595
24, 0, 15, 16, 32, 39.92437114767688, 11, 25.388649680688598, 5.380891367497865, 0.999999999999998, 0.2119408253362424, 5, 5, 18, 13, 315850, 321404, 13, 32.282533407211304, 3.5562522411346436, 18.003035306930542
25, 0, 15, 16, 32, 39.924371082291735, 11, 25.388649725507012, 5.380891211975116, 1.0000000000000013, 0.21194081883642432, 5, 5, 18, 13, 315850, 321404, 13, 32.200417280197144, 3.5378973484039307, 17.795215606689453
26, 0, 15, 16, 32, 39.92437170029569, 11, 25.388649957985972, 5.380891290363342, 1.0000000000000002, 0.21194081998325243, 5, 5, 18, 13, 316225, 321785, 13, 32.39637851715088, 3.552340269088745, 18.086998462677002
27, 0, 15, 16, 32, 39.92437231252901, 11, 25.38864975907127, 5.380891260398979, 0.9999999999999982, 0.21194082046353685, 5, 5, 18, 13, 316098, 321658, 13, 32.32092785835266, 3.5535829067230225, 17.89810585975647
28, 0, 15, 16, 32, 39.924372171017346, 11, 25.388649794527726, 5.3808911754847575, 0.9999999999999987, 0.21194081682297888, 5, 5, 18, 13, 316098, 321658, 13, 32.23264122009277, 3.5331945419311523, 17.748083353042603
29, 0, 15, 16, 32, 39.92437223381798, 11, 25.388649918745337, 5.380891005307567, 1.0000000000000009, 0.2119408090831437, 5, 5, 18, 13, 316098, 321658, 13, 32.23293924331665, 3.525866746902466, 17.839787244796753
30, 0, 15, 16, 32, 39.92437246699246, 11, 25.388649773353876, 5.38089092659392, 0.999999999999996, 0.21194080719650127, 5, 5, 18, 13, 437782, 440657, 13, 110.75960612297058, 5.120810508728027, 23.83389163017273
31, 0, 15, 16, 32, 39.92437208720891, 11, 25.388650020158646, 5.3808909887091305, 1.0000000000000036, 0.21194080758278586, 5, 5, 18, 13, 316098, 321658, 13, 33.03783702850342, 3.5652573108673096, 17.754985094070435
32, 0, 15, 16, 32, 39.92437170994253, 11, 25.388649908971985, 5.380891043345228, 0.9999999999999964, 0.21194081066294443, 5, 5, 18, 13, 315977, 321531, 13, 32.2410991191864, 3.5543715953826904, 17.813000440597534
33, 0, 15, 16, 32, 39.924372668832284, 11, 25.388649892443976, 5.380891122278624, 1.0, 0.21194081390992314, 5, 5, 18, 13, 315971, 321531, 13, 32.26526355743408, 3.6213879585266113, 18.00755739212036
34, 0, 15, 16, 32, 39.92437210209407, 11, 25.38865001490776, 5.380891065733058, 0.999999999999998, 0.21194081066041168, 5, 5, 18, 13, 316225, 321785, 13, 32.25607228279114, 3.5486180782318115, 17.78116536140442
35, 0, 15, 16, 32, 39.92437276348552, 11, 25.38864989074943, 5.38089108395053, 1.0000000000000013, 0.21194081241441223, 5, 5, 18, 13, 316098, 321658, 13, 32.17317986488342, 3.534796953201294, 17.774418115615845
36, 0, 15, 16, 32, 39.924372246065246, 11, 25.3886498116136, 5.380891290588809, 0.9999999999999976, 0.21194082121402968, 5, 5, 18, 13, 316098, 321658, 13, 32.276562452316284, 3.5204458236694336, 18.010197639465332
37, 0, 15, 16, 32, 39.924371378954625, 11, 25.38864963224229, 5.380891234050433, 1.0000000000000033, 0.2119408204844816, 5, 5, 18, 13, 315971, 321531, 13, 32.172473192214966, 3.561633348464966, 17.867422342300415
38, 0, 15, 16, 32, 39.92437183467927, 11, 25.38864974137019, 5.3808911569293505, 1.0000000000000007, 0.2119408165358748, 5, 5, 18, 13, 315850, 321404, 13, 32.26509475708008, 3.5532467365264893, 17.77661943435669
39, 0, 15, 16, 32, 39.924372347569545, 11, 25.388649764348227, 5.380891174102784, 1.0000000000000016, 0.21194081702048084, 5, 5, 18, 13, 316098, 321658, 13, 32.333298683166504, 3.5487897396087646, 17.947004318237305
40, 0, 15, 16, 32, 39.924372214332266, 11, 25.388649602623634, 5.380891084387917, 1.0000000000000044, 0.21194081483687335, 5, 5, 18, 13, 316098, 321658, 13, 32.4062819480896, 3.559149742126465, 17.89191508293152
41, 0, 15, 16, 32, 39.924372060530494, 11, 25.388649859223005, 5.380891179359125, 0.9999999999999996, 0.21194081643551443, 5, 5, 18, 13, 315971, 321531, 13, 32.338311195373535, 3.544857978820801, 17.82914113998413
