iters, residual_total, residual_rho, residual_rhou, residual_rhoE
0.0,12.375368413827264,3.056753228741153,4.585129843111731,11.080730454186686
1.0,2.5724828587212922,0.719980911632385,0.9768509026609995,2.2682719985200768
2.0,0.7523548138196313,0.2661109581572013,0.31088792454635833,0.6313251319229151
3.0,0.2525685662216263,0.0813012449719923,0.10606079972480317,0.21431774301486878
4.0,0.06707285538998713,0.026451270323961818,0.030135763809267316,0.053767406186712
5.0,0.027653945932949245,0.00894680309856117,0.012163613162261085,0.02316769204769705
6.0,0.01206769581008085,0.00410004870176745,0.004814083733256127,0.010278301446103665
7.0,0.008162605099619047,0.002827644494431133,0.0032328059905028586,0.006941290517851057
8.0,0.00465004018031829,0.0017507355143287092,0.0017315573450458488,0.003944554220474162
9.0,0.00283597556182353,0.0010938685169889762,0.0010096129394343248,0.002413895351362069
10.0,0.0016515507022518772,0.0006755117339320464,0.0005552984010508737,0.0014010522135948869
11.0,0.0013922881989128328,0.0005762344543888022,0.00046016534541446245,0.0011809606840563185
12.0,0.0012524066350103414,0.000525196578887119,0.00040603566451887386,0.0010619915122457003
13.0,0.0009649361135405204,0.00041137696753698865,0.0003074425947670761,0.0008169147720035689
14.0,0.00023118497312337968,0.00012178593126353162,5.909672827350494e-05,0.00018740932594644177
15.0,0.00010698361046709897,4.801028965053878e-05,4.0285425794965704e-05,8.670403372834304e-05
16.0,4.5285618329549506e-05,1.9785110363603857e-05,1.8861614285732068e-05,3.610507086166586e-05
17.0,1.7439451895821168e-05,7.971188160397504e-06,7.105381950143316e-06,1.3787972624021879e-05
18.0,6.693463872023619e-06,2.7465855430600274e-06,3.0332049014281293e-06,5.297017508626099e-06
19.0,2.190447511048181e-06,9.22296372497411e-07,8.756039912251037e-07,1.783464984373384e-06
20.0,6.968179913541395e-07,1.9997574972107963e-07,2.710389656260524e-07,6.10002370250042e-07
21.0,2.1672893747035003e-07,6.454660517647983e-08,8.707160885966207e-08,1.8767978854370158e-07
22.0,1.0101816357674424e-07,4.0911059376871663e-08,3.977707820990732e-08,8.335909453780584e-08
23.0,8.506501582597502e-08,3.680730586579408e-08,2.374244862531698e-08,7.292170654646973e-08
24.0,6.679434252660043e-08,3.0218272198417766e-08,2.003382012019523e-08,5.609800593866787e-08
25.0,6.662976606449355e-08,3.0665260854805944e-08,1.964495250081414e-08,5.579644561938151e-08
26.0,6.109544375114062e-08,2.7019968622531033e-08,1.5319656086075144e-08,5.26106707825571e-08
