step, iter, fidelity, l2_error_abs, l2_error_rel, l2_error_normalized, linsys_residual
0, 0, 0.9951916283522962, 0.08342330427136287, 0.08794933138848196, 0.06938418908901366, 0.6182601438490967
1, 0, 0.9976728066073381, 0.028645256023498048, 0.05176453339720981, 0.04825504043816442, 0.17432291739455344
2, 0, 0.998329705321776, 0.015150875932233314, 0.044204900535861465, 0.04087777797779691, 0.12565042600378232
3, 0, 0.9988878916739521, 0.008467036595793963, 0.036614650616040585, 0.03335292632333775, 0.0751045792965894
4, 0, 0.998646700869962, 0.006421992108907756, 0.037050266310275956, 0.036793440920107445, 0.058481560686862714
5, 0, 0.9985984659444603, 0.005744209654865445, 0.0429391680578987, 0.0374436306252144, 0.05355000321602049
6, 0, 0.999368202787198, 0.002596082426892295, 0.025477168062226403, 0.025137562257868253, 0.033833853619762905
7, 0, 0.9995056665647895, 0.0017090670123930424, 0.022430337285160612, 0.022234984634604795, 0.026764230822228837
8, 0, 0.9997008074229856, 0.001369248889411833, 0.024507125897761408, 0.017297831060914783, 0.02349757384355375
9, 0, 0.9998443681989042, 0.0006535923017123644, 0.01682213032601619, 0.012475490246138523, 0.010529433466956454
10, 0, 0.9998024894084707, 0.00037752465844587764, 0.01475233033726441, 0.014054193150137036, 0.010410318688846426
11, 0, 0.9998866016699608, 0.00020547039245386297, 0.012167961628008256, 0.01064901615254345, 0.004361483705440145
12, 0, 0.9998066683244359, 0.000191820506039834, 0.01755365374269169, 0.013904712177942629, 0.004478312574674164
13, 0, 0.9999065808944607, 0.0001767172078714267, 0.02531006096383149, 0.009665468815516508, 0.0027901126036425326
14, 0, 0.9998849154317233, 4.776632616848171e-05, 0.01073767465746346, 0.010727901918895806, 0.0018734255043639549
15, 0, 0.9998325482232705, 5.4275987266505044e-05, 0.019722520626095853, 0.012940586823666073, 0.0009453296403159451
16, 0, 0.9997937713666714, 3.633650950380678e-05, 0.02122411509847526, 0.014361032935939367, 0.0007303517275429993
17, 0, 0.9998350399863674, 3.500038943884344e-05, 0.03294096031543696, 0.012843940872846104, 0.000391173979007779
18, 0, 0.9995964733458712, 3.9022731706365576e-05, 0.05868347507062319, 0.02008898630551762, 0.0004004606588731967
19, 0, 0.9995952398442762, 4.016334850270615e-05, 0.0969533085208813, 0.020119670019874317, 0.0005048172271697304
20, 0, 0.9995828355968753, 5.144584443789321e-05, 0.2011201599523537, 0.020425668134302907, 0.0005507208949203111
21, 0, 0.9991766723677992, 4.534319146400138e-05, 0.2773127580824282, 0.028696640379766058, 0.0005560708954421747
22, 0, 0.9986293172479221, 3.6804122505408224e-05, 0.3348182434197956, 0.03702908001860398, 0.0004648999755634713
23, 0, 0.997897353614562, 3.100884810050319e-05, 0.4135865869309852, 0.045866685397509904, 0.0003759040214508107
24, 0, 0.9982907736104332, 2.407770697519469e-05, 0.45164927246443637, 0.04135163089933969, 0.00029829790825680743
25, 0, 0.9985325683777047, 1.873101003339425e-05, 0.47705256155233183, 0.03831410127392227, 0.00023349406285431078
26, 0, 0.9982353444687954, 1.6950259587356292e-05, 0.575813088295808, 0.04201707653968805, 0.00020786753919561137
27, 0, 0.9982696251103879, 1.6822839431903622e-05, 0.7152691237100496, 0.04160677933861031, 0.00020303903320472184
28, 0, 0.9979984871491329, 1.7239377708470107e-05, 0.8458208583400905, 0.04474947337211836, 0.0002067302883701651
29, 0, 0.9988778342424897, 1.771248048364266e-05, 0.9340968207071981, 0.03350344381270244, 0.00021124916071945619
30, 0, 0.9986083218642381, 1.839595136197772e-05, 0.9996033697373101, 0.03731169353344318, 0.00021898462655940525
31, 0, 0.9985935443178897, 1.8300626209730857e-05, 0.9945984873276581, 0.0375093394417605, 0.0002178146853755035
32, 0, 0.9982085701687057, 1.7918199590249794e-05, 0.9761158816250706, 0.0423347711906494, 0.0002129323838866608
33, 0, 0.9985162095376282, 1.769911135833485e-05, 0.9744961315759048, 0.03852714986015246, 0.00021005879461632294
34, 0, 0.9989256950593187, 1.7113964391876687e-05, 0.9526909657985639, 0.03278099490900997, 0.00020245185440321062
35, 0, 0.9988445391727163, 1.6134735885473815e-05, 0.9172138736044273, 0.03399698209879305, 0.00018983279180675958
36, 0, 0.9986425116043174, 1.4887847570278605e-05, 0.8776075300412658, 0.03685036501303335, 0.00017346253846969284
37, 0, 0.9982984156949185, 1.1670067908586642e-05, 0.7257954711612199, 0.041259044685699256, 0.0001319478924000978
38, 0, 0.998873625974747, 6.4524438880334775e-06, 0.4532217833380046, 0.03356622384775827, 6.699474056932734e-05
39, 0, 0.9990032544360156, 4.355859393448257e-07, 0.03821062941157975, 0.03157521279576484, 5.255465947524416e-06
40, 0, 0.998234145023334, 5.076008479403189e-07, 0.06097258140612378, 0.04203136003316802, 4.405675217667657e-06
41, 0, 0.9986150928670469, 3.118114630952832e-07, 0.047782452724676495, 0.03722078662222327, 2.1207232178297163e-06
42, 0, 0.9986275647434728, 2.0375057309755336e-07, 0.03963053384710728, 0.03705275258379913, 1.596961092055165e-06
43, 0, 0.9988427370520808, 1.3913718148034283e-07, 0.03503384171261302, 0.03402349123165569, 1.0145450546155161e-06
