step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 13.704302947366264, 9, 28.655614508872507, 8.518227518373477, 1.000000000000003, 0.2972620781081493, 5, 5, 18, 13, 317858, 323309, 13, 32.242518186569214, 3.680161952972412, 17.770238399505615
1, 0, 15, 16, 32, 13.272917443628641, 11, 28.3497963931717, 8.394630963284698, 0.9999999999999964, 0.2961090389102973, 5, 5, 18, 13, 317858, 323309, 13, 32.42973756790161, 3.5555503368377686, 17.70627760887146
2, 0, 15, 16, 32, 13.347899456977025, 11, 28.654881630014177, 8.28938771260347, 1.0000000000000013, 0.2892836138579904, 5, 5, 18, 13, 317858, 323309, 13, 32.3482084274292, 3.5868537425994873, 17.688104152679443
3, 0, 15, 16, 32, 13.575923036266257, 11, 29.119112068056655, 8.61088181241106, 0.9999999999999989, 0.29571237585425103, 5, 5, 18, 13, 317858, 323309, 13, 32.340158224105835, 3.599055290222168, 17.7372043132782
4, 0, 15, 16, 32, 13.567207263371593, 11, 29.51666460694161, 9.06550938870319, 1.000000000000001, 0.30713190360171044, 5, 5, 18, 13, 317858, 323309, 13, 32.399925231933594, 3.5909554958343506, 17.673295736312866
5, 0, 15, 16, 32, 13.516081878161762, 11, 29.839949400601398, 9.382015717924936, 1.0000000000000004, 0.31441124755177635, 5, 5, 18, 13, 317858, 323309, 13, 32.42247009277344, 3.5754191875457764, 17.70292854309082
6, 0, 15, 16, 32, 13.406110723740712, 11, 30.093043922651734, 9.700615308924297, 1.0000000000000029, 0.3223540740464075, 5, 5, 18, 13, 317858, 323309, 13, 32.332589864730835, 3.5967791080474854, 17.839104890823364
7, 0, 15, 16, 32, 13.32719836975448, 11, 30.276611976575285, 9.955948745186443, 1.0000000000000018, 0.3288329867585334, 5, 5, 18, 13, 317858, 323309, 13, 32.442710876464844, 3.5934383869171143, 17.661470890045166
8, 0, 15, 16, 32, 13.283867653464993, 11, 30.41055050027132, 10.149498695881064, 1.0000000000000002, 0.3337492590208294, 5, 5, 18, 13, 317858, 323309, 13, 32.34327411651611, 3.5423390865325928, 17.752806425094604
9, 0, 15, 16, 32, 13.248716501877356, 11, 30.50373376037487, 10.302803817173585, 1.0000000000000022, 0.3377554989860686, 5, 5, 18, 13, 317858, 323309, 13, 32.43563914299011, 3.5814123153686523, 17.58862328529358
10, 0, 15, 16, 32, 13.226754168216294, 11, 30.563068808086346, 10.410539042937714, 0.999999999999998, 0.3406247948564419, 5, 5, 18, 13, 317858, 323309, 13, 32.34697699546814, 3.5784950256347656, 17.712230443954468
11, 0, 15, 16, 32, 13.217061599240887, 11, 30.605209364222848, 10.484179666198916, 1.0000000000000013, 0.34256193255958645, 5, 5, 18, 13, 317858, 323309, 13, 32.29525184631348, 3.5827255249023438, 17.628129482269287
12, 0, 15, 16, 32, 13.210607932232294, 11, 30.62848200427704, 10.529955264229168, 1.0000000000000013, 0.34379618496139447, 5, 5, 18, 13, 317858, 323309, 13, 32.46030569076538, 3.574969530105591, 17.703662157058716
13, 0, 15, 16, 32, 13.20836378082816, 11, 30.645994553006684, 10.560363151764175, 0.9999999999999967, 0.3445919542111282, 5, 5, 18, 13, 317858, 323309, 13, 32.335071325302124, 3.585448980331421, 17.762956380844116
14, 0, 15, 16, 32, 13.20717657412879, 11, 30.656504534787086, 10.580586743919705, 0.999999999999999, 0.3451335011763495, 5, 5, 18, 13, 317858, 323309, 13, 32.50179076194763, 3.598764657974243, 17.643807411193848
15, 0, 15, 16, 32, 13.205469224178039, 11, 30.662407228617518, 10.59293099847001, 0.9999999999999969, 0.34546964690311494, 5, 5, 18, 13, 317858, 323309, 13, 32.4058952331543, 3.572143316268921, 17.748372554779053
16, 0, 15, 16, 32, 13.204493859423254, 11, 30.66580446469643, 10.600711957321819, 1.000000000000001, 0.3456851089468644, 5, 5, 18, 13, 317858, 323309, 13, 32.32227563858032, 3.555201768875122, 17.652555465698242
17, 0, 15, 16, 32, 13.203643051942931, 11, 30.66769412036308, 10.605458997559188, 0.9999999999999984, 0.34581859842267115, 5, 5, 18, 13, 317858, 323309, 13, 32.42034888267517, 3.600825309753418, 17.864112377166748
18, 0, 15, 16, 32, 13.203200639472621, 11, 30.66886995255238, 10.608147425639583, 1.0000000000000009, 0.3458929997111525, 5, 5, 18, 13, 317858, 323309, 13, 32.51536202430725, 3.5694472789764404, 17.71698808670044
19, 0, 15, 16, 32, 13.20291900802317, 11, 30.66949051026405, 10.609712846416175, 0.9999999999999972, 0.34593704264064873, 5, 5, 18, 13, 317858, 323309, 13, 32.3633930683136, 3.5721945762634277, 17.747812271118164
20, 0, 15, 16, 32, 13.202689691983633, 11, 30.669809120630223, 10.610666088951177, 0.9999999999999977, 0.345964529717722, 5, 5, 18, 13, 317858, 323309, 13, 32.39902710914612, 3.574950933456421, 17.68129253387451
21, 0, 15, 16, 32, 13.202513332842248, 11, 30.6699995935316, 10.611250246630082, 0.9999999999999996, 0.34598142769027085, 5, 5, 18, 13, 317858, 323309, 13, 32.402676582336426, 3.58156156539917, 17.7686824798584
22, 0, 15, 16, 32, 13.202378525811621, 11, 30.670045676519905, 10.611557142745939, 1.0000000000000016, 0.3459909142186183, 5, 5, 18, 13, 317858, 323309, 13, 32.351364612579346, 3.60495662689209, 17.736905097961426
23, 0, 15, 16, 32, 13.202297771492514, 11, 30.67004952619178, 10.611713051173147, 0.9999999999999989, 0.3459959541999078, 5, 5, 18, 13, 317858, 323309, 13, 32.53344750404358, 3.5655500888824463, 17.748603343963623
24, 0, 15, 16, 32, 13.202251607988279, 11, 30.670048160607, 10.6117898772065, 1.0000000000000004, 0.345998474525919, 5, 5, 18, 13, 317858, 323309, 13, 32.361138105392456, 3.5592153072357178, 17.801259756088257
25, 0, 15, 16, 32, 13.202209193226878, 11, 30.670025746111047, 10.611832312736158, 0.9999999999999996, 0.34600011100681044, 5, 5, 18, 13, 317858, 323309, 13, 32.33202624320984, 3.585589647293091, 17.605239629745483
26, 0, 15, 16, 32, 13.20217617460542, 11, 30.670005068492195, 10.611854259154306, 0.9999999999999979, 0.34600105984514373, 5, 5, 18, 13, 317858, 323309, 13, 32.535961389541626, 3.745455026626587, 17.770137310028076
27, 0, 15, 16, 32, 13.202155852416976, 11, 30.66999031786755, 10.611864953240888, 0.9999999999999974, 0.3460015749355722, 5, 5, 18, 13, 317858, 323309, 13, 32.35453248023987, 3.5611624717712402, 17.73844885826111
28, 0, 15, 16, 32, 13.202140729957964, 11, 30.669978362279327, 10.611867884792613, 0.9999999999999992, 0.3460018053955998, 5, 5, 18, 13, 317858, 323309, 13, 32.44650197029114, 3.53713059425354, 17.63711714744568
29, 0, 15, 16, 32, 13.20213543584204, 11, 30.669974007283678, 10.611868621683103, 1.0000000000000004, 0.3460018785527151, 5, 5, 18, 13, 317858, 323309, 13, 32.40350937843323, 3.5708484649658203, 17.691879749298096
30, 0, 15, 16, 32, 13.202132653266892, 11, 30.669971401060895, 10.611868616438004, 0.9999999999999953, 0.3460019077836819, 5, 5, 18, 13, 317858, 323309, 13, 32.27133893966675, 3.564490795135498, 17.680063009262085
31, 0, 15, 16, 32, 13.202131048029614, 11, 30.669969794102837, 10.611868464546582, 1.0000000000000042, 0.3460019209600588, 5, 5, 18, 13, 317858, 323309, 13, 32.42081141471863, 3.5831520557403564, 17.6857807636261
32, 0, 15, 16, 32, 13.202130776333282, 11, 30.669969698333926, 10.611868440633232, 1.0000000000000024, 0.3460019212607731, 5, 5, 18, 13, 317858, 323309, 13, 32.43651270866394, 3.5983428955078125, 17.728265285491943
33, 0, 15, 16, 32, 13.202130467758064, 11, 30.66996936725801, 10.611868371673221, 1.0000000000000007, 0.3460019227473382, 5, 5, 18, 13, 317858, 323309, 13, 32.34380292892456, 3.5585031509399414, 17.764619827270508
34, 0, 15, 16, 32, 13.202130535752877, 11, 30.669969352821486, 10.611868663936056, 1.0000000000000002, 0.34600193243948707, 5, 5, 18, 13, 317858, 323309, 13, 32.35207462310791, 3.557880401611328, 17.552189111709595
35, 0, 15, 16, 32, 13.202130469509813, 11, 30.669969390327612, 10.611868437958229, 1.000000000000002, 0.346001924648316, 5, 5, 18, 13, 317858, 323309, 13, 32.37796998023987, 3.550729513168335, 17.75651240348816
36, 0, 15, 16, 32, 13.202129405450524, 11, 30.66996821579402, 10.611868509888629, 1.0000000000000013, 0.34600194024406866, 5, 5, 18, 13, 317858, 323309, 13, 32.33317732810974, 3.5812413692474365, 17.667370796203613
37, 0, 15, 16, 32, 13.202128425354593, 11, 30.669967543622548, 10.611868489792714, 0.9999999999999989, 0.3460019471719096, 5, 5, 18, 13, 317858, 323309, 13, 32.48872399330139, 3.566800594329834, 17.673133850097656
38, 0, 15, 16, 32, 13.202126778381452, 11, 30.66996602511437, 10.611868539632178, 0.9999999999999966, 0.34600196592792165, 5, 5, 18, 13, 317858, 323309, 13, 32.32325839996338, 3.58282470703125, 17.64847159385681
39, 0, 15, 16, 32, 13.20212359968811, 11, 30.669963190875617, 10.611868321414239, 1.000000000000001, 0.34600199078723676, 5, 5, 18, 13, 317858, 323309, 13, 32.33124923706055, 3.5716536045074463, 17.6469886302948
40, 0, 15, 16, 32, 13.202117748244426, 11, 30.669957492290024, 10.611867684643196, 0.9999999999999966, 0.34600203431357546, 5, 5, 18, 13, 317858, 323309, 13, 32.47793769836426, 3.5689637660980225, 17.599350452423096
41, 0, 15, 16, 32, 13.20210903833255, 11, 30.669949243769185, 10.611865982749988, 0.9999999999999989, 0.3460020718784156, 5, 5, 18, 13, 317858, 323309, 13, 32.36417007446289, 3.565410852432251, 17.617620944976807
42, 0, 15, 16, 32, 13.202091969184586, 11, 30.66993071799672, 10.611860543274693, 0.9999999999999971, 0.34600210352114696, 5, 5, 18, 13, 317858, 323309, 13, 32.44741177558899, 3.57829213142395, 17.746981859207153
43, 0, 15, 16, 32, 13.202073846920499, 11, 30.669907388255403, 10.611847266437342, 1.000000000000002, 0.34600193382067396, 5, 5, 18, 13, 317858, 323309, 13, 32.47707557678223, 3.61020827293396, 17.710375547409058
44, 0, 15, 16, 32, 13.202061716904145, 11, 30.669889223073707, 10.611834088544018, 1.000000000000002, 0.34600170908215744, 5, 5, 18, 13, 317858, 323309, 13, 32.31755208969116, 3.58583402633667, 17.701132774353027
45, 0, 15, 16, 32, 13.202054356804563, 11, 30.66987667987259, 10.61182154222027, 0.9999999999999967, 0.3460014415116446, 5, 5, 18, 13, 317858, 323309, 13, 32.39662957191467, 3.5402276515960693, 17.84484887123108
46, 0, 15, 16, 32, 13.202049363471563, 11, 30.669866658305725, 10.611811038756777, 1.0000000000000029, 0.3460012121012257, 5, 5, 18, 13, 317858, 323309, 13, 32.501558780670166, 3.5439977645874023, 17.774596691131592
47, 0, 15, 16, 32, 13.202046578476862, 11, 30.669859789003564, 10.611802685455125, 1.0000000000000009, 0.3460010172351659, 5, 5, 18, 13, 317858, 323309, 13, 32.33865165710449, 3.5950915813446045, 17.63379406929016
48, 0, 15, 16, 32, 13.202044727352543, 11, 30.66985480481043, 10.611796140682287, 0.9999999999999969, 0.34600086006986397, 5, 5, 18, 13, 317858, 323309, 13, 32.44692397117615, 3.5906710624694824, 17.7982120513916
49, 0, 15, 16, 32, 13.202043689331004, 11, 30.669851195552123, 10.611791176533725, 1.0000000000000009, 0.3460007389299847, 5, 5, 18, 13, 317858, 323309, 13, 32.34346890449524, 3.6128900051116943, 17.691195487976074
50, 0, 15, 16, 32, 13.202043247506534, 11, 30.66984898647045, 10.611787547350463, 0.9999999999999979, 0.3460006455210029, 5, 5, 18, 13, 317858, 323309, 13, 32.367483615875244, 3.581963539123535, 17.740666151046753
51, 0, 15, 16, 32, 13.202042939309525, 11, 30.669847635484167, 10.611785376376412, 0.9999999999999978, 0.3460005899768109, 5, 5, 18, 13, 317858, 323309, 13, 32.401047229766846, 3.5900955200195312, 17.7166485786438
52, 0, 15, 16, 32, 13.202042903551886, 11, 30.669846493024707, 10.611783784867997, 0.9999999999999968, 0.34600055097378596, 5, 5, 18, 13, 317858, 323309, 13, 32.49479126930237, 3.5870859622955322, 17.763545513153076
53, 0, 15, 16, 32, 13.202042843906566, 11, 30.66984589818351, 10.611782704647812, 1.0000000000000002, 0.3460005224635426, 5, 5, 18, 13, 317858, 323309, 13, 32.48668313026428, 3.5828604698181152, 17.632219314575195
54, 0, 15, 16, 32, 13.202042745125235, 11, 30.669845340373477, 10.6117819128023, 1.0000000000000024, 0.3460005029380785, 5, 5, 18, 13, 317858, 323309, 13, 32.40412402153015, 3.5891549587249756, 17.671724319458008
55, 0, 15, 16, 32, 13.202042678473008, 11, 30.66984496259132, 10.611781589065234, 1.0000000000000007, 0.3460004966444618, 5, 5, 18, 13, 317858, 323309, 13, 32.272987842559814, 3.736591339111328, 17.70064091682434
56, 0, 15, 16, 32, 13.202042904662001, 11, 30.66984477255077, 10.611781396981554, 0.9999999999999981, 0.34600049252544657, 5, 5, 18, 13, 317858, 323309, 13, 32.42153453826904, 3.600872278213501, 17.816548585891724
57, 0, 15, 16, 32, 13.202042767917154, 11, 30.6698449919925, 10.611781138254036, 0.9999999999999934, 0.3460004816139324, 5, 5, 18, 13, 317858, 323309, 13, 32.45778036117554, 3.5928077697753906, 17.834967136383057
58, 0, 15, 16, 32, 13.202042848272722, 11, 30.66984458851318, 10.611781055943043, 0.9999999999999996, 0.3460004834819887, 5, 5, 18, 13, 317858, 323309, 13, 32.36993384361267, 3.5831568241119385, 17.702497959136963
59, 0, 15, 16, 32, 13.202042797325813, 11, 30.669844838469828, 10.611780971500181, 1.0000000000000018, 0.34600047790882954, 5, 5, 18, 13, 317858, 323309, 13, 32.42836356163025, 3.5928280353546143, 17.639896631240845
60, 0, 15, 16, 32, 13.202042801743803, 11, 30.669844810611995, 10.611780969585427, 1.0000000000000004, 0.3460004781606746, 5, 5, 18, 13, 317858, 323309, 13, 32.317161321640015, 3.566328525543213, 17.608991861343384
61, 0, 15, 16, 32, 13.20204273678045, 11, 30.66984485878291, 10.611780774120536, 0.9999999999999998, 0.3460004712440413, 5, 5, 18, 13, 317858, 323309, 13, 32.46193170547485, 3.589019536972046, 17.796849012374878
62, 0, 15, 16, 32, 13.202042816700509, 11, 30.66984465389648, 10.611780783497872, 1.0000000000000022, 0.3460004738612077, 5, 5, 18, 13, 317858, 323309, 13, 32.45265531539917, 3.5913352966308594, 17.809043169021606
63, 0, 15, 16, 32, 13.202042880987461, 11, 30.669844671679073, 10.611780855741275, 1.0000000000000002, 0.34600047601611633, 5, 5, 18, 13, 317858, 323309, 13, 32.442638635635376, 3.6037354469299316, 17.80144739151001
64, 0, 15, 16, 32, 13.202042865978097, 11, 30.669844679181914, 10.611780938898484, 1.0000000000000002, 0.3460004786428383, 5, 5, 18, 13, 317858, 323309, 13, 32.44495368003845, 3.598642587661743, 17.752320766448975
65, 0, 15, 16, 32, 13.202042857031794, 11, 30.669844788980637, 10.611780676637458, 0.9999999999999986, 0.3460004688530459, 5, 5, 18, 13, 317858, 323309, 13, 32.409505128860474, 3.5888333320617676, 17.653834342956543
