iters, residual_total, residual_rho, residual_rhou, residual_rhoE
0.0,12.375368413827264,3.056753228741153,4.585129843111731,11.080730454186686
1.0,5.796013632670753,1.5518530031516613,2.1177306625543437,5.1672761806963186
2.0,3.237780887089728,1.0016823116744895,1.1673128760217104,2.8490767397098873
3.0,1.9615798237829023,0.7138902853445908,0.6307018930022666,1.7147510570710074
4.0,1.3776223116054918,0.5508573935154886,0.4117790253946334,1.1936655309120838
5.0,1.017882742546224,0.44401670618738215,0.3002219026898749,0.8653330291542105
6.0,0.8266445736663476,0.36082918900911987,0.2628087165890672,0.6957550761696574
7.0,0.6452613293238887,0.28469431385121813,0.2214236555658122,0.5350541052430947
8.0,0.48454733365680963,0.2142699738870208,0.16883218940559494,0.4004624684847412
9.0,0.36113615581661457,0.1571718546852108,0.13240749978605526,0.2969588946861482
10.0,0.26414608667778766,0.11089136510846072,0.10131097537039671,0.2172840227008655
11.0,0.18218545786166487,0.07606128346338019,0.07287970321620146,0.14864309964907957
12.0,0.12014889755789918,0.05011932795169588,0.04839635089453167,0.0978856668268765
13.0,0.07847687314824571,0.033091841966363646,0.03196876151093277,0.0635731696697291
14.0,0.05073378252745501,0.02119743325081494,0.02047224894009926,0.041297367185511344
15.0,0.03272373369680133,0.013570025748286904,0.013538766325816095,0.02652166952936692
16.0,0.020608807119394196,0.008310631592225639,0.008405472729945703,0.016882072195344777
17.0,0.012736869899956859,0.005101759836096287,0.005128343981523561,0.010483319580666846
18.0,0.007812911938518373,0.0032100915846125433,0.0031479397503437674,0.006389630686170232
19.0,0.00477098060295135,0.002036856361942049,0.0018956892374525612,0.0038755431089797926
20.0,0.0030622438356237482,0.0012814640138443464,0.0012034694584649264,0.0025073588798932875
21.0,0.0019705709736982054,0.0008296033412756786,0.00079220780527586,0.0016022843230170257
22.0,0.001338995561135299,0.0005483973121694699,0.0005555751712073049,0.0010878904953547986
23.0,0.0009228675121338299,0.0003727012262876456,0.0003858553044461011,0.0007509287082716816
24.0,0.0006441356813321152,0.0002660313867983676,0.0002679302080050137,0.0005218730505033918
25.0,0.00046793676702954384,0.00019110811798618216,0.00019235610871026163,0.000381368106453184
26.0,0.0003419017457244042,0.0001406078318657132,0.00014017367946234208,0.00027834794939680626
27.0,0.00025789962524090296,0.00010725425670676437,0.00010302426876425135,0.00021070059602020349
28.0,0.00021030464088827222,8.7828152363811e-05,8.324304574066048e-05,0.00017200247953829808
29.0,0.0001942620468633444,8.149911437693699e-05,7.660050434635066e-05,0.00015883324570503454
30.0,0.00018546204511414675,7.801536050757901e-05,7.267646229660092e-05,0.0001517494828025619
31.0,0.0001806676140963547,7.604827555680617e-05,7.065701257777919e-05,0.0001478682966077887
32.0,0.00017980639683313473,7.570218379295793e-05,7.028868112759663e-05,0.00014717004116475264
33.0,0.00017919767474201294,7.546512081450942e-05,7.003366173017254e-05,0.00014667006646913177
34.0,0.00017918007952187794,7.545815698781003e-05,7.00263445594521e-05,0.00014665564601852333
35.0,0.0001788863527614586,7.533891881498009e-05,6.990103937613533e-05,0.00014641796068181945
36.0,0.00017544370923363212,7.403568722311523e-05,6.850061703233774e-05,0.00014355095817599164
37.0,0.0001728310457813453,7.299431195530413e-05,6.742202957818752e-05,0.00014140958502026384
38.0,0.0001680260802714361,7.110091913674875e-05,6.542103497355638e-05,0.00013746821862627493
39.0,0.00015885573955718425,6.751315382369254e-05,6.15378626490337e-05,0.0001299623465147773
40.0,0.0001430957651867012,6.116892033949643e-05,5.513735376115955e-05,0.00011702407196421005
41.0,0.00012064766658490953,5.216687287115604e-05,4.5776098791564695e-05,9.868650164360397e-05
42.0,8.181285882841547e-05,3.676785873049129e-05,2.9761127948188487e-05,6.675135726938015e-05
43.0,5.2516339852561576e-05,2.469718486031421e-05,1.8885085959470142e-05,4.232456189718492e-05
44.0,4.051747864258938e-05,1.8629509127030025e-05,1.5127346452575778e-05,3.26461460901947e-05
45.0,3.290882145611001e-05,1.4653194521456904e-05,1.2796607386385102e-05,2.654281935562209e-05
46.0,2.5915534335314834e-05,1.1488951385573787e-05,1.0158491753289237e-05,2.0890762581656965e-05
47.0,2.0100977317923923e-05,8.794025490724209e-06,7.97223942234452e-06,1.622213929779303e-05
48.0,1.5225658421081619e-05,6.578802036199959e-06,6.07311678082466e-06,1.23149214650525e-05
49.0,1.1380946322852031e-05,4.792313405014556e-06,4.555125103507788e-06,9.26339606856741e-06
50.0,8.417825800126617e-06,3.424677439783974e-06,3.476570658767206e-06,6.858923537211284e-06
51.0,5.790771093503273e-06,2.3912781232619287e-06,2.4251649902358825e-06,4.683310107679844e-06
52.0,4.003167848057328e-06,1.6123241908096613e-06,1.654856096804799e-06,3.2691305911997302e-06
53.0,2.6510355353233514e-06,1.0932551660455411e-06,1.087491631481523e-06,2.1564193708366563e-06
54.0,1.8292314708767964e-06,7.311273419684699e-07,7.606030784626762e-07,1.4943304657622785e-06
55.0,1.1844185765005013e-06,4.784916633305572e-07,4.916037437913106e-07,9.655148116797577e-07
56.0,7.751238362772498e-07,3.112296050422883e-07,3.171418289016213e-07,6.35117433921725e-07
57.0,4.807923064193896e-07,1.982207268964516e-07,1.960167448729917e-07,3.9172339867579397e-07
58.0,2.8531208503810404e-07,1.2797328456932682e-07,1.1548200328047046e-07,2.273537578832992e-07
59.0,1.9084606093911058e-07,8.581213690705643e-08,7.295176193194265e-08,1.540666627354681e-07
60.0,1.6357776166008112e-07,5.072608356264492e-08,6.808013100426448e-08,1.3982004262107797e-07
61.0,9.731211722944654e-08,2.8238232209725827e-08,3.347358220728732e-08,8.690091884185763e-08
62.0,7.017601759153527e-08,2.1878425358863543e-08,2.6308962579473942e-08,6.126864154537738e-08
63.0,4.86833786470049e-08,1.3225094779655243e-08,1.6585697777051674e-08,4.3818750025589405e-08
64.0,3.118286980111245e-08,1.0563580916629778e-08,1.0115909695462473e-08,2.753997999789024e-08
65.0,2.6327396350846862e-08,1.0041287434166527e-08,9.146272184949651e-09,2.2553271390152038e-08
66.0,2.4528099906249025e-08,9.540850605506086e-09,9.658553370923376e-09,2.0428220713399693e-08
67.0,2.446851942854939e-08,1.0084548508988153e-08,1.214737281615423e-08,1.8693626134608585e-08
68.0,2.6404744440338576e-08,1.0547816613243132e-08,1.2841895186534421e-08,2.0519254900484258e-08
69.0,2.709911207037865e-08,9.185642976181062e-09,1.519237498582432e-08,2.047382671625353e-08
70.0,2.2068279609144646e-08,9.188212886370874e-09,1.4053594100427124e-08,1.4320691384236923e-08
71.0,1.718173453962058e-08,7.668827040045652e-09,1.050429443211072e-08,1.1227684182563345e-08
72.0,1.3972910762917543e-08,6.139156494549923e-09,9.131461786916123e-09,8.61216571821357e-09
