step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 13.704302947366264, 9, 28.655614508872507, 8.518227518373477, 1.000000000000003, 0.2972620781081493, 5, 5, 18, 13, 317858, 323309, 13, 32.40861129760742, 3.6614062786102295, 17.81220555305481
1, 0, 15, 16, 32, 13.212009835939426, 11, 28.443413375390843, 8.460389547399927, 0.9999999999999993, 0.29744635201624137, 5, 5, 18, 13, 317858, 323309, 13, 32.60867428779602, 3.5911948680877686, 17.827059984207153
2, 0, 15, 16, 32, 13.336621302683719, 11, 28.76150854071594, 8.438199813052911, 0.9999999999999979, 0.29338516097329975, 5, 5, 18, 13, 317858, 323309, 13, 32.40801692008972, 3.6244101524353027, 17.774893045425415
3, 0, 15, 16, 32, 13.54117863146031, 11, 29.18354660874544, 8.791213357096298, 0.9999999999999999, 0.30123869024410505, 5, 5, 18, 13, 317858, 323309, 13, 32.465696573257446, 3.6259169578552246, 17.791212558746338
4, 0, 15, 16, 32, 13.571837096454294, 11, 29.56355315579338, 9.089655911267117, 0.9999999999999989, 0.3074615511662847, 5, 5, 18, 13, 317858, 323309, 13, 32.465723514556885, 3.593716621398926, 17.6517493724823
5, 0, 15, 16, 32, 13.4967191549568, 11, 29.87292068103392, 9.413340628438393, 0.9999999999999962, 0.3151128317498205, 5, 5, 18, 13, 317858, 323309, 13, 32.53381538391113, 3.5505030155181885, 17.745415925979614
6, 0, 15, 16, 32, 13.403622383874898, 11, 30.096592353374497, 9.698796136142462, 1.0000000000000022, 0.3222556235691247, 5, 5, 18, 13, 317858, 323309, 13, 32.441322326660156, 3.5869812965393066, 17.67986249923706
7, 0, 15, 16, 32, 13.320522681333191, 11, 30.28319425994332, 9.959086662540424, 0.9999999999999999, 0.3288651315001348, 5, 5, 18, 13, 317858, 323309, 13, 32.53254222869873, 3.6040380001068115, 17.746619701385498
8, 0, 15, 16, 32, 13.276021200411186, 11, 30.41449930114109, 10.158465258396776, 1.0, 0.3340007395096476, 5, 5, 18, 13, 317858, 323309, 13, 32.451826333999634, 3.6269989013671875, 17.68299174308777
9, 0, 15, 16, 32, 13.256322669326929, 11, 30.50562523431035, 10.300385359373259, 0.9999999999999964, 0.33765527768262893, 5, 5, 18, 13, 317858, 323309, 13, 32.506545066833496, 3.6468284130096436, 17.68389081954956
10, 0, 15, 16, 32, 13.231451261238039, 11, 30.5626396606302, 10.405351347692378, 1.000000000000001, 0.3404598379994071, 5, 5, 18, 13, 317858, 323309, 13, 32.51963829994202, 3.5682461261749268, 17.649702548980713
11, 0, 15, 16, 32, 13.22042241985537, 11, 30.602130180320135, 10.477055553433098, 1.0000000000000002, 0.3423636031772309, 5, 5, 18, 13, 317858, 323309, 13, 32.43159794807434, 3.6398446559906006, 17.66248106956482
12, 0, 15, 16, 32, 13.212876969551154, 11, 30.628431484396103, 10.526328622584689, 1.0000000000000009, 0.34367834434967365, 5, 5, 18, 13, 317858, 323309, 13, 32.53803634643555, 3.5785281658172607, 17.686442613601685
13, 0, 15, 16, 32, 13.210313393666105, 11, 30.64540611997786, 10.55819514138398, 0.9999999999999997, 0.3445278258035899, 5, 5, 18, 13, 317858, 323309, 13, 32.455318450927734, 3.609924793243408, 17.725428342819214
