iters, residual_total, residual_rho, residual_rhou, residual_rhoE
0.0,12.375368413827264,3.056753228741153,4.585129843111731,11.080730454186686
1.0,5.595997422110387,1.5745575026406171,2.0336089410304665,4.969948741597361
2.0,3.2942818677710823,1.022123731634425,1.174905678915281,2.90295586380635
3.0,2.087606573045313,0.7365672489788493,0.6954849661950667,1.8253412155951478
4.0,1.4291467396673505,0.5657516738567887,0.45295990783336976,1.2317519104615364
5.0,1.0446738858239384,0.44766314436873206,0.3242889712712028,0.8864411430028797
6.0,0.8238109753819571,0.3555847477922614,0.2684435091323024,0.6929372934847864
7.0,0.6345551994084893,0.27526214464446136,0.2179918266541472,0.5285552159747053
8.0,0.47894194845499427,0.20531394885937373,0.17259930183841568,0.3967884239724344
9.0,0.34983184420954666,0.14721824740069367,0.13274169863367533,0.2882511895884685
10.0,0.2458013069994889,0.10093754241216409,0.09518824400656682,0.20290168372242717
11.0,0.16345575096958112,0.06815825189389103,0.06485153790376041,0.13366567717748543
12.0,0.10759691292422123,0.04552983140561424,0.042435185934969366,0.08776893025247241
13.0,0.07350441586911935,0.029553025396841147,0.029587683604939137,0.060449043177275535
14.0,0.0474109429380056,0.01908956811828926,0.01942292452812666,0.038808966774480265
15.0,0.029574662107110603,0.012200849363265603,0.012231604213122544,0.024003911596616665
16.0,0.018430702871866798,0.007671522838027284,0.007464654902073237,0.015003915252014019
17.0,0.01176910516249272,0.004820800045651172,0.004838529161623176,0.009584380981460649
18.0,0.007457215015419757,0.002991255671647696,0.003107951341444902,0.0060830160078901825
19.0,0.00464914210223186,0.001847953281083595,0.001911377388825494,0.0038139516823321048
20.0,0.0028999182334343027,0.0011422904405510904,0.001175315298572688,0.002392348690925158
21.0,0.001880549609125904,0.0007517561159664487,0.0007672328543015571,0.0015435942866475361
22.0,0.001266371108856191,0.0005028413285052944,0.0005050420480237553,0.0010467945898888953
23.0,0.0008497515790826049,0.0003414498182577348,0.00033094219355396076,0.0007042492685767114
24.0,0.0006153444666854611,0.0002494399465181765,0.0002367307917529241,0.0005102813518025693
25.0,0.00045835481421299196,0.00018670236443597097,0.00017751133164707315,0.00037910564485790375
26.0,0.0003397225788379882,0.00014276293348395788,0.00013149291718404012,0.00027881855771418675
