step, iter, matrix_size_orig, matrix_size_pow2, matrix_size_herm, condition_number, nnz_per_row, lambda_max_orig, lambda_min_orig, lambda_max_scaled, lambda_min_scaled, nqubits, circ_depth_orig, circ_gates_orig, circ_qubits_orig, circ_depth_transpile, circ_gates_transpile, circ_qubits_transpile, circ_generate_time, circ_transpile_time, circ_run_time
0, 0, 15, 16, 32, 19.810251548467406, 9, 26.572281175539203, 6.43953513394811, 1.0000000000000007, 0.24234032040410292, 5, 5, 18, 13, 316981, 322547, 13, 32.29247832298279, 3.663512706756592, 17.863587379455566
1, 0, 15, 16, 32, 19.348690920213826, 12, 26.53828115321542, 6.404066376286719, 1.0000000000000007, 0.24131428630639853, 5, 5, 18, 13, 317858, 323309, 13, 32.53080105781555, 3.58355450630188, 18.02111530303955
2, 0, 15, 16, 32, 19.465292944634147, 11, 27.04383701792574, 6.70737966802943, 0.9999999999999998, 0.24801878755531287, 5, 5, 18, 13, 317858, 323309, 13, 32.60143041610718, 3.612046480178833, 18.020580530166626
3, 0, 15, 16, 32, 19.437325656580033, 11, 27.565307570550573, 7.11379351663562, 0.9999999999999981, 0.2580705293575482, 5, 5, 18, 13, 317858, 323309, 13, 32.50049185752869, 3.593400478363037, 17.93519139289856
4, 0, 15, 16, 32, 19.157939462678545, 11, 27.935651138167106, 7.524167801300895, 1.0000000000000007, 0.2693392670207354, 5, 5, 18, 13, 317858, 323309, 13, 32.54304504394531, 3.61698842048645, 17.987192392349243
5, 0, 15, 16, 32, 18.847355912042257, 11, 28.1600059136503, 7.8665264470698215, 0.9999999999999999, 0.2793510225527546, 5, 5, 18, 13, 317858, 323309, 13, 32.54869198799133, 3.5838139057159424, 17.949617385864258
6, 0, 15, 16, 32, 18.662833458476648, 11, 28.312747451659334, 8.111544661586029, 0.9999999999999978, 0.2864979697020058, 5, 5, 18, 13, 317858, 323309, 13, 32.529313802719116, 3.570646047592163, 17.984699249267578
7, 0, 15, 16, 32, 18.577620452642478, 11, 28.394087277627175, 8.250714912539907, 0.9999999999999993, 0.29057862758071307, 5, 5, 18, 13, 317858, 323309, 13, 32.550944328308105, 3.5686287879943848, 17.99462652206421
8, 0, 15, 16, 32, 18.534468194179745, 11, 28.437501415879844, 8.331993057546757, 1.0000000000000018, 0.29299314787529407, 5, 5, 18, 13, 317858, 323309, 13, 32.4744598865509, 3.5851221084594727, 17.977813482284546
9, 0, 15, 16, 32, 18.509059462089187, 11, 28.45880040673437, 8.377240925361649, 0.999999999999998, 0.29436381033753284, 5, 5, 18, 13, 317858, 323309, 13, 32.481600522994995, 3.6009089946746826, 18.06847357749939
10, 0, 15, 16, 32, 18.493268439318456, 11, 28.467003725901428, 8.400339086471831, 0.999999999999996, 0.2950903849016101, 5, 5, 18, 13, 317858, 323309, 13, 32.57933259010315, 3.5945467948913574, 18.014052152633667
11, 0, 15, 16, 32, 18.48439014433014, 11, 28.469752233360172, 8.41102869104402, 0.9999999999999998, 0.29543736882922955, 5, 5, 18, 13, 317858, 323309, 13, 32.473562479019165, 3.6058061122894287, 18.035948276519775
12, 0, 15, 16, 32, 18.48023894857537, 11, 28.470562477656074, 8.415436080111034, 0.9999999999999998, 0.2955837660993013, 5, 5, 18, 13, 317858, 323309, 13, 32.505059480667114, 3.5873734951019287, 18.008270263671875
