step, iter, fidelity, l2_error_abs, l2_error_rel, l2_error_normalized, linsys_residual
0, 0, 0.9972826166580319, 0.06316862549065036, 0.05391654648848235, 0.05214625487507847, 0.529680605039182
1, 0, 0.9990050748096799, 0.018720396773649894, 0.03161505980615001, 0.031546359259617615, 0.24351623348339
2, 0, 0.9995814234122475, 0.007112127587552976, 0.020875256441626248, 0.020460215016267103, 0.12993290336411287
3, 0, 0.999727525143496, 0.004790889574789463, 0.022701819013887313, 0.01650737470557199, 0.05895440003173077
4, 0, 0.9998034816424184, 0.0019409806514819002, 0.01429566497805957, 0.01401884493805788, 0.02705845941558865
5, 0, 0.9992968957706974, 0.0023962625183766104, 0.028226172981362038, 0.02651844380160582, 0.03164036404594977
6, 0, 0.9992186401653669, 0.001710792089054833, 0.03352326135849676, 0.02795554551586626, 0.013945737314967625
7, 0, 0.9989007031563261, 0.0010459422036727913, 0.03583423144060082, 0.03316020390817432, 0.027480114384386516
8, 0, 0.9987993665233822, 0.0005597561425221647, 0.03465143820839289, 0.03465536139342301, 0.017094361552966626
9, 0, 0.9981551238188952, 0.0013728444743246044, 0.16773709198797898, 0.04296193499991004, 0.017243038661316778
10, 0, 0.998959216507858, 0.0016747022088723443, 0.3663318168862621, 0.03226537526092729, 0.016386453369295527
11, 0, 0.9982923968238782, 0.0012132328082540033, 0.4032692897152062, 0.04133198248739902, 0.011568701740308864
12, 0, 0.9982415156384965, 0.0006174805982835499, 0.3009778788409874, 0.04194351092570377, 0.006115439483780032
13, 0, 0.9981755500397586, 0.00035542301756840376, 0.2752790170964912, 0.042723329395436424, 0.003394631139900817
14, 0, 0.9979986818744643, 0.00021847675795206765, 0.2787047212236601, 0.04474729541908484, 0.0021907630585350744
15, 0, 0.9981456581821608, 0.00018398493874620045, 0.3827136420602776, 0.04307205894413249, 0.0017571398149158705
16, 0, 0.9981350268660196, 0.00014462796202812896, 0.46608597964479886, 0.0431954103688529, 0.0013845161144069393
17, 0, 0.9989315578006689, 0.00010831758730597843, 0.5011370313909138, 0.032691401683995265, 0.0010515114204938407
18, 0, 0.9984178675357012, 9.119985534769251e-05, 0.595672543938934, 0.039783900582705346, 0.000875779468966056
19, 0, 0.9988073822993415, 6.874856576790126e-05, 0.5888991254581214, 0.03453944841865389, 0.0006455941273779947
20, 0, 0.9987473722180475, 6.089585144168206e-05, 0.6869294871465258, 0.035398026736806046, 0.0005715659074670754
21, 0, 0.9991891436496024, 5.9835749528564125e-05, 0.8247248669695973, 0.02847842672976757, 0.0005634012167280724
22, 0, 0.9989057335078598, 6.152549383982066e-05, 0.942149737712403, 0.03308422600760073, 0.000578746271605022
23, 0, 0.998952310825384, 6.105516345456114e-05, 0.9666112822759686, 0.032372267932573216, 0.0005731885808993916
24, 0, 0.99852900203086, 6.193970828602302e-05, 0.9995092511476806, 0.038360647514904346, 0.0005815621711557753
25, 0, 0.9990519194087333, 5.820559711456592e-05, 0.9395139869327135, 0.030794567894146044, 0.0005449902893373462
26, 0, 0.9991694138484549, 5.965237984982939e-05, 0.9970755944966754, 0.028822884775572384, 0.0005586918540975787
27, 0, 0.9991725374400057, 5.768763906808152e-05, 0.9658187981675945, 0.02876862534088302, 0.000539427409010721
28, 0, 0.998803362707192, 5.6973016563630165e-05, 0.9725492334096528, 0.03459762262923958, 0.0005323514906462155
29, 0, 0.998826974472699, 5.3328445828351214e-05, 0.9244829254119857, 0.034254484759511906, 0.0004959755204912845
30, 0, 0.9989294391005564, 4.856418841192387e-05, 0.878680122259917, 0.0327238075091896, 0.00044941828321898455
31, 0, 0.9987441769587765, 4.089464810261954e-05, 0.792860898772834, 0.03544315959000285, 0.00037115578974620503
32, 0, 0.9979232393776282, 2.2688663867084888e-05, 0.495436403242023, 0.04558333003389987, 0.00019147663623128214
33, 0, 0.9982181523410492, 1.661702578430726e-06, 0.04873114491846237, 0.042221346639734945, 2.5947468062325092e-05
34, 0, 0.9985326623835825, 8.026844579280709e-07, 0.03994431413845113, 0.038312873573600956, 7.26514299074407e-06
35, 0, 0.9994307801068715, 3.3724823252544177e-07, 0.024184351471349463, 0.02386002763894333, 4.425793616637867e-06
36, 0, 0.9997584312987803, 1.4986049803337797e-07, 0.015650570433709588, 0.015542949906331703, 1.8681120580474667e-06
37, 0, 0.999853100756962, 1.2064933643958568e-07, 0.019153563208935923, 0.012120422362044804, 1.3580760443545378e-06
38, 0, 0.9998175135170985, 6.341014293715037e-08, 0.01576112329165111, 0.013509063953499406, 1.2301332360763202e-06
39, 0, 0.9998009673967482, 5.065611644394293e-08, 0.020296999411637488, 0.014108242540215286, 6.967450513661743e-07
40, 0, 0.9994085539213248, 4.022235791429731e-08, 0.027232386002593315, 0.024321462864236212, 4.225680006813338e-07
41, 0, 0.9992694481407361, 2.587660858272027e-08, 0.03032814405868179, 0.027031191849918472, 3.661041636329226e-07
42, 0, 0.9984533798838509, 2.6950191290785353e-08, 0.05676236867984745, 0.039334699450093935, 4.4416288388954315e-07
43, 0, 0.998827189221386, 9.731046963171096e-09, 0.03809402153812747, 0.03425134803806144, 8.325302952092817e-08
44, 0, 0.9976027846834564, 9.767582671520284e-09, 0.07180189396646607, 0.04897605195575383, 1.0284573470045405e-07
45, 0, 0.9980144601350814, 6.140527743901377e-09, 0.0849531742293172, 0.044570465328494416, 5.463745549248289e-08
46, 0, 0.9979459643443299, 7.536698374844056e-09, 0.19888223469856037, 0.04533311575849975, 6.065379083077547e-08
47, 0, 0.9831993144673822, 6.0502069877516416e-09, 0.2899189771108654, 0.12989167969391266, 6.732884655246672e-08
48, 0, 0.9823507920122718, 8.122472037499009e-09, 0.6484045154649573, 0.133145676301203, 9.665592439762444e-08
49, 0, 0.9846110154533948, 6.940445178172305e-09, 0.6934550537451539, 0.1242925710519936, 7.935177374165774e-08
50, 0, 0.9586930635254318, 5.2123234420787434e-09, 0.6443999105885309, 0.20430988063115657, 6.243245826523927e-08
51, 0, 0.6812836835255162, 3.889261417247417e-09, 0.6474821474110841, 0.5909328356978827, 4.076286088062405e-08
52, 0, 0.8402305289768073, 2.8857039220450835e-09, 0.6958477403806718, 0.40831122381992024, 3.5579958103913855e-08
53, 0, 0.7785871890655215, 1.939816389539382e-09, 0.5723960431715082, 0.4850237633162433, 3.1633417519862124e-08
54, 0, 0.5327818744542343, 3.008371509800911e-09, 0.9284704530471279, 0.7349557922345368, 3.302995239493632e-08
55, 0, 0.4873721024635971, 2.6423153284849138e-09, 0.8650853344774797, 0.7770186991268884, 4.309195823814198e-08
56, 0, 0.7512620880173839, 1.8266940056108795e-09, 0.657572122888428, 0.5162287830413403, 2.410570252488778e-08
57, 0, 0.6497082883057608, 1.871910903339726e-09, 0.7647395870869245, 0.622823942834047, 2.4398134069630374e-08
58, 0, 0.0, 2.154122977411022e-09, 0.999999535774166, 0.9999995357741659, 2.5037884983410104e-08
